$version=2
**** Load  :        20         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1   380   380   380   380   380   380   380   380   380   380   380   380
2025   2   380   380   380   380   380   380   380   380   380   380   380   380
2025   3   380   380   380   380   380   380   380   380   380   380   380   380
2026   1   380   380   380   380   380   380   380   380   380   380   380   380
2026   2   380   380   380   380   380   380   380   380   380   380   380   380
2026   3   380   380   380   380   380   380   380   380   380   380   380   380
2027   1   380   380   380   380   380   380   380   380   380   380   380   380
2027   2   380   380   380   380   380   380   380   380   380   380   380   380
2027   3   380   380   380   380   380   380   380   380   380   380   380   380
2028   1   380   380   380   380   380   380   380   380   380   380   380   380
2028   2   380   380   380   380   380   380   380   380   380   380   380   380
2028   3   380   380   380   380   380   380   380   380   380   380   380   380
2029   1   380   380   380   380   380   380   380   380   380   380   380   380
2029   2   380   380   380   380   380   380   380   380   380   380   380   380
2029   3   380   380   380   380   380   380   380   380   380   380   380   380
2030   1   380   380   380   380   380   380   380   380   380   380   380   380
2030   2   380   380   380   380   380   380   380   380   380   380   380   380
2030   3   380   380   380   380   380   380   380   380   380   380   380   380
**** Load  :        24         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1   380   380   380   380   380   380   380   380   380   380   380   380
2025   2   380   380   380   380   380   380   380   380   380   380   380   380
2025   3   380   380   380   380   380   380   380   380   380   380   380   380
2026   1   380   380   380   380   380   380   380   380   380   380   380   380
2026   2   380   380   380   380   380   380   380   380   380   380   380   380
2026   3   380   380   380   380   380   380   380   380   380   380   380   380
2027   1   380   380   380   380   380   380   380   380   380   380   380   380
2027   2   380   380   380   380   380   380   380   380   380   380   380   380
2027   3   380   380   380   380   380   380   380   380   380   380   380   380
2028   1   380   380   380   380   380   380   380   380   380   380   380   380
2028   2   380   380   380   380   380   380   380   380   380   380   380   380
2028   3   380   380   380   380   380   380   380   380   380   380   380   380
2029   1   380   380   380   380   380   380   380   380   380   380   380   380
2029   2   380   380   380   380   380   380   380   380   380   380   380   380
2029   3   380   380   380   380   380   380   380   380   380   380   380   380
2030   1   380   380   380   380   380   380   380   380   380   380   380   380
2030   2   380   380   380   380   380   380   380   380   380   380   380   380
2030   3   380   380   380   380   380   380   380   380   380   380   380   380
