$version=2
**** Load  :         5         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1   400   400   400   400   400   400   400   400   400   400   400   400
2025   2   400   400   400   400   400   400   400   400   400   400   400   400
2025   3   400   400   400   400   400   400   400   400   400   400   400   400
2026   1   400   400   400   400   400   400   400   400   400   400   400   400
2026   2   400   400   400   400   400   400   400   400   400   400   400   400
2026   3   400   400   400   400   400   400   400   400   400   400   400   400
2027   1   400   400   400   400   400   400   400   400   400   400   400   400
2027   2   400   400   400   400   400   400   400   400   400   400   400   400
2027   3   400   400   400   400   400   400   400   400   400   400   400   400
2028   1   400   400   400   400   400   400   400   400   400   400   400   400
2028   2   400   400   400   400   400   400   400   400   400   400   400   400
2028   3   400   400   400   400   400   400   400   400   400   400   400   400
2029   1   400   400   400   400   400   400   400   400   400   400   400   400
2029   2   400   400   400   400   400   400   400   400   400   400   400   400
2029   3   400   400   400   400   400   400   400   400   400   400   400   400
2030   1   400   400   400   400   400   400   400   400   400   400   400   400
2030   2   400   400   400   400   400   400   400   400   400   400   400   400
2030   3   400   400   400   400   400   400   400   400   400   400   400   400
**** Load  :        11         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1   400   400   400   400   400   400   400   400   400   400   400   400
2025   2   400   400   400   400   400   400   400   400   400   400   400   400
2025   3   400   400   400   400   400   400   400   400   400   400   400   400
2026   1   400   400   400   400   400   400   400   400   400   400   400   400
2026   2   400   400   400   400   400   400   400   400   400   400   400   400
2026   3   400   400   400   400   400   400   400   400   400   400   400   400
2027   1   400   400   400   400   400   400   400   400   400   400   400   400
2027   2   400   400   400   400   400   400   400   400   400   400   400   400
2027   3   400   400   400   400   400   400   400   400   400   400   400   400
2028   1   400   400   400   400   400   400   400   400   400   400   400   400
2028   2   400   400   400   400   400   400   400   400   400   400   400   400
2028   3   400   400   400   400   400   400   400   400   400   400   400   400
2029   1   400   400   400   400   400   400   400   400   400   400   400   400
2029   2   400   400   400   400   400   400   400   400   400   400   400   400
2029   3   400   400   400   400   400   400   400   400   400   400   400   400
2030   1   400   400   400   400   400   400   400   400   400   400   400   400
2030   2   400   400   400   400   400   400   400   400   400   400   400   400
2030   3   400   400   400   400   400   400   400   400   400   400   400   400
**** Load  :        14         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1   390   390   390   390   390   390   390   390   390   390   390   390
2025   2   390   390   390   390   390   390   390   390   390   390   390   390
2025   3   390   390   390   390   390   390   390   390   390   390   390   390
2026   1   390   390   390   390   390   390   390   390   390   390   390   390
2026   2   390   390   390   390   390   390   390   390   390   390   390   390
2026   3   390   390   390   390   390   390   390   390   390   390   390   390
2027   1   390   390   390   390   390   390   390   390   390   390   390   390
2027   2   390   390   390   390   390   390   390   390   390   390   390   390
2027   3   390   390   390   390   390   390   390   390   390   390   390   390
2028   1   390   390   390   390   390   390   390   390   390   390   390   390
2028   2   390   390   390   390   390   390   390   390   390   390   390   390
2028   3   390   390   390   390   390   390   390   390   390   390   390   390
2029   1   390   390   390   390   390   390   390   390   390   390   390   390
2029   2   390   390   390   390   390   390   390   390   390   390   390   390
2029   3   390   390   390   390   390   390   390   390   390   390   390   390
2030   1   390   390   390   390   390   390   390   390   390   390   390   390
2030   2   390   390   390   390   390   390   390   390   390   390   390   390
2030   3   390   390   390   390   390   390   390   390   390   390   390   390
