$version=2
**** Load  :        28         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1   410   410   410   410   410   410   410   410   410   410   410   410
2025   2   410   410   410   410   410   410   410   410   410   410   410   410
2025   3   410   410   410   410   410   410   410   410   410   410   410   410
2026   1   410   410   410   410   410   410   410   410   410   410   410   410
2026   2   410   410   410   410   410   410   410   410   410   410   410   410
2026   3   410   410   410   410   410   410   410   410   410   410   410   410
2027   1   410   410   410   410   410   410   410   410   410   410   410   410
2027   2   410   410   410   410   410   410   410   410   410   410   410   410
2027   3   410   410   410   410   410   410   410   410   410   410   410   410
2028   1   410   410   410   410   410   410   410   410   410   410   410   410
2028   2   410   410   410   410   410   410   410   410   410   410   410   410
2028   3   410   410   410   410   410   410   410   410   410   410   410   410
2029   1   410   410   410   410   410   410   410   410   410   410   410   410
2029   2   410   410   410   410   410   410   410   410   410   410   410   410
2029   3   410   410   410   410   410   410   410   410   410   410   410   410
2030   1   410   410   410   410   410   410   410   410   410   410   410   410
2030   2   410   410   410   410   410   410   410   410   410   410   410   410
2030   3   410   410   410   410   410   410   410   410   410   410   410   410
**** Load  :        30         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1   410   410   410   410   410   410   410   410   410   410   410   410
2025   2   410   410   410   410   410   410   410   410   410   410   410   410
2025   3   410   410   410   410   410   410   410   410   410   410   410   410
2026   1   410   410   410   410   410   410   410   410   410   410   410   410
2026   2   410   410   410   410   410   410   410   410   410   410   410   410
2026   3   410   410   410   410   410   410   410   410   410   410   410   410
2027   1   410   410   410   410   410   410   410   410   410   410   410   410
2027   2   410   410   410   410   410   410   410   410   410   410   410   410
2027   3   410   410   410   410   410   410   410   410   410   410   410   410
2028   1   410   410   410   410   410   410   410   410   410   410   410   410
2028   2   410   410   410   410   410   410   410   410   410   410   410   410
2028   3   410   410   410   410   410   410   410   410   410   410   410   410
2029   1   410   410   410   410   410   410   410   410   410   410   410   410
2029   2   410   410   410   410   410   410   410   410   410   410   410   410
2029   3   410   410   410   410   410   410   410   410   410   410   410   410
2030   1   410   410   410   410   410   410   410   410   410   410   410   410
2030   2   410   410   410   410   410   410   410   410   410   410   410   410
2030   3   410   410   410   410   410   410   410   410   410   410   410   410
**** Load  :        32         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1   410   410   410   410   410   410   410   410   410   410   410   410
2025   2   410   410   410   410   410   410   410   410   410   410   410   410
2025   3   410   410   410   410   410   410   410   410   410   410   410   410
2026   1   410   410   410   410   410   410   410   410   410   410   410   410
2026   2   410   410   410   410   410   410   410   410   410   410   410   410
2026   3   410   410   410   410   410   410   410   410   410   410   410   410
2027   1   410   410   410   410   410   410   410   410   410   410   410   410
2027   2   410   410   410   410   410   410   410   410   410   410   410   410
2027   3   410   410   410   410   410   410   410   410   410   410   410   410
2028   1   410   410   410   410   410   410   410   410   410   410   410   410
2028   2   410   410   410   410   410   410   410   410   410   410   410   410
2028   3   410   410   410   410   410   410   410   410   410   410   410   410
2029   1   410   410   410   410   410   410   410   410   410   410   410   410
2029   2   410   410   410   410   410   410   410   410   410   410   410   410
2029   3   410   410   410   410   410   410   410   410   410   410   410   410
2030   1   410   410   410   410   410   410   410   410   410   410   410   410
2030   2   410   410   410   410   410   410   410   410   410   410   410   410
2030   3   410   410   410   410   410   410   410   410   410   410   410   410
