$version=2
**** Load  :        18         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1141.94135.71148.39   105 88.71  87.5 84.68 92.74116.67118.55133.33129.03
2025   2210.48208.93 212.1   220231.45   230226.61236.29   225225.81208.33207.26
2025   3247.58255.36239.52   275279.84 282.5288.71270.97258.33255.65258.33263.71
2026   1141.94135.71148.39   105 88.71  87.5 84.68 92.74116.67118.55133.33129.03
2026   2210.48208.93 212.1   220231.45   230226.61236.29   225225.81208.33207.26
2026   3247.58255.36239.52   275279.84 282.5288.71270.97258.33255.65258.33263.71
2027   1 146.9140.46153.58108.68 91.81 90.56 87.64 95.99120.75 122.7   138133.55
2027   2217.85216.24219.52 227.7239.55238.05234.54244.56232.88233.71215.63214.51
2027   3256.25264.29 247.9284.63289.63292.39298.81280.45267.38264.59267.38272.94
2028   1152.04145.37158.95112.47 95.02 93.73  90.7 99.34124.97126.99142.82138.22
2028   2225.46 223.8227.19235.66247.92246.37242.74253.11241.01241.88223.16222.01
2028   3 265.2273.53256.56294.57299.75 302.6309.26290.25276.72273.84276.72282.48
2029   1157.36150.46164.51116.41 98.35 97.01 93.88102.82129.34131.43147.82143.05
2029   2233.36231.63235.14243.91 256.6254.99251.24261.97249.45250.34230.97229.78
2029   3274.48283.11265.54304.88310.25 313.2320.08300.41286.41283.43286.41292.37
2030   1162.87155.73170.27120.49101.79100.41 97.17106.42133.88136.03   153148.06
2030   2241.53239.75243.38252.45265.59263.93260.04271.14258.19259.11239.06237.83
2030   3 284.1293.02274.84315.56321.11324.17331.29310.94296.44293.35296.44302.61
**** Load  :        19         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1615.05 588.1643.01   455384.41379.17366.94401.88505.56513.71577.78559.14
2025   2 912.1905.36919.09953.33  1003996.67981.991023.9   975978.49902.78898.12
2025   31072.81106.51037.91191.71212.61224.21251.11174.21119.41107.81119.41142.7
2026   1615.05 588.1643.01   455384.41379.17366.94401.88505.56513.71577.78559.14
2026   2 912.1905.36919.09953.33  1003996.67981.991023.9   975978.49902.78898.12
2026   31072.81106.51037.91191.71212.61224.21251.11174.21119.41107.81119.41142.7
2027   1636.58608.68665.52470.93397.86392.44379.78415.95523.25531.69   598578.71
2027   2944.02937.04951.25 986.71038.11031.51016.41059.81009.11012.7934.38929.55
2027   31110.41145.31074.21233.41255.1  12671294.91215.31158.61146.61158.61182.7
2028   1658.86629.99688.81487.41411.79406.18393.07430.51541.57 550.3618.93598.97
2028   2977.07969.85984.551021.21074.41067.71051.91096.91044.51048.2967.08962.09
2028   31149.31185.41111.81276.5  12991311.41340.21257.81199.21186.71199.21224.1
2029   1681.93652.04712.93504.47426.21420.39406.83445.58560.53569.57 640.6619.94
2029   21011.31003.8  1019  1057  1112  11051088.81135.3  10811084.91000.9995.77
2029   31189.51226.91150.81321.21344.51357.31387.11301.91241.21228.21241.2  1267
2030   1 705.8674.86737.88522.13441.12435.11421.07461.17580.14 589.5663.02641.63
2030   21046.71038.91054.7  10941150.91143.71126.9  11751118.81122.9  10361030.6
2030   31231.11269.8  11911367.51391.51404.81435.71347.41284.61271.21284.61311.3
**** Load  :        20         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1165.59158.33173.12 122.5103.49102.08 98.79 108.2136.11138.31155.56150.54
2025   2245.56243.75247.45256.67270.03268.33264.38275.67 262.5263.44243.06 241.8
2025   3288.84297.92279.44320.83326.48329.58336.83316.13301.39298.25301.39307.66
2026   1165.59158.33173.12 122.5103.49102.08 98.79 108.2136.11138.31155.56150.54
2026   2245.56243.75247.45256.67270.03268.33264.38275.67 262.5263.44243.06 241.8
2026   3288.84297.92279.44320.83326.48329.58336.83316.13301.39298.25301.39307.66
2027   1 168.9 161.5176.58124.95105.56104.13100.77110.36138.83141.07158.67153.55
2027   2250.48248.63 252.4 261.8275.43 273.7269.67281.19267.75268.71247.92246.64
2027   3294.62303.88285.02327.25333.01336.18343.56322.45307.42304.22307.42313.81
2028   1172.29164.73180.12127.45107.68106.21102.78112.57141.61 143.9161.84156.62
2028   2255.49 253.6257.45267.04280.94279.18275.07286.82273.11274.09252.88251.58
2028   3300.52309.96290.73 333.8339.68342.91350.45328.91313.57310.31313.57 320.1
2029   1175.72168.01 183.7129.99109.82108.33104.83114.81144.43146.76165.07159.74
2029   2260.58258.65262.58272.36286.54284.74280.55292.53278.55279.55257.92256.59
2029   3 306.5316.13296.52340.45346.44349.74357.42335.46319.82316.49319.82326.47
2030   1179.24171.38187.39 132.6112.03 110.5106.93117.12147.33149.71168.38162.95
2030   2265.81263.84267.84277.82292.28290.45286.17 298.4284.14285.16263.09261.73
2030   3312.65322.47302.47347.28353.39356.75364.59342.19326.23322.84326.23333.02
**** Load  :        78         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1     0     0     0     0     0     0     0     0     0     0     0     0
2025   2     0     0     0     0     0     0     0     0     0     0     0     0
2025   3     0     0     0     0     0     0     0     0     0     0     0     0
2026   1     0     0     0     0     0     0     0     0     0     0     0     0
2026   2     0     0     0     0     0     0     0     0     0     0     0     0
2026   3     0     0     0     0     0     0     0     0     0     0     0     0
2027   1     0     0     0     0     0     0     0     0     0     0     0     0
2027   2     0     0     0     0     0     0     0     0     0     0     0     0
2027   3     0     0     0     0     0     0     0     0     0     0     0     0
2028   1     0     0     0     0     0     0     0     0     0     0     0     0
2028   2     0     0     0     0     0     0     0     0     0     0     0     0
2028   3     0     0     0     0     0     0     0     0     0     0     0     0
2029   1     0     0     0     0     0     0     0     0     0     0     0     0
2029   2     0     0     0     0     0     0     0     0     0     0     0     0
2029   3     0     0     0     0     0     0     0     0     0     0     0     0
2030   1     0     0     0     0     0     0     0     0     0     0     0     0
2030   2     0     0     0     0     0     0     0     0     0     0     0     0
2030   3     0     0     0     0     0     0     0     0     0     0     0     0
**** Load  :        79         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1     0     0     0     0     0     0     0     0     0     0     0     0
2025   2     0     0     0     0     0     0     0     0     0     0     0     0
2025   3     0     0     0     0     0     0     0     0     0     0     0     0
2026   1     0     0     0     0     0     0     0     0     0     0     0     0
2026   2     0     0     0     0     0     0     0     0     0     0     0     0
2026   3     0     0     0     0     0     0     0     0     0     0     0     0
2027   1     0     0     0     0     0     0     0     0     0     0     0     0
2027   2     0     0     0     0     0     0     0     0     0     0     0     0
2027   3     0     0     0     0     0     0     0     0     0     0     0     0
2028   1     0     0     0     0     0     0     0     0     0     0     0     0
2028   2     0     0     0     0     0     0     0     0     0     0     0     0
2028   3     0     0     0     0     0     0     0     0     0     0     0     0
2029   1     0     0     0     0     0     0     0     0     0     0     0     0
2029   2     0     0     0     0     0     0     0     0     0     0     0     0
2029   3     0     0     0     0     0     0     0     0     0     0     0     0
2030   1     0     0     0     0     0     0     0     0     0     0     0     0
2030   2     0     0     0     0     0     0     0     0     0     0     0     0
2030   3     0     0     0     0     0     0     0     0     0     0     0     0
**** Load  :        80         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1     0     0     0     0     0     0     0     0     0     0     0     0
2025   2     0     0     0     0     0     0     0     0     0     0     0     0
2025   3     0     0     0     0     0     0     0     0     0     0     0     0
2026   1     0     0     0     0     0     0     0     0     0     0     0     0
2026   2     0     0     0     0     0     0     0     0     0     0     0     0
2026   3     0     0     0     0     0     0     0     0     0     0     0     0
2027   1     0     0     0     0     0     0     0     0     0     0     0     0
2027   2     0     0     0     0     0     0     0     0     0     0     0     0
2027   3     0     0     0     0     0     0     0     0     0     0     0     0
2028   1     0     0     0     0     0     0     0     0     0     0     0     0
2028   2     0     0     0     0     0     0     0     0     0     0     0     0
2028   3     0     0     0     0     0     0     0     0     0     0     0     0
2029   1     0     0     0     0     0     0     0     0     0     0     0     0
2029   2     0     0     0     0     0     0     0     0     0     0     0     0
2029   3     0     0     0     0     0     0     0     0     0     0     0     0
2030   1     0     0     0     0     0     0     0     0     0     0     0     0
2030   2     0     0     0     0     0     0     0     0     0     0     0     0
2030   3     0     0     0     0     0     0     0     0     0     0     0     0
**** Load  :        81         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1     0     0     0     0     0     0     0     0     0     0     0     0
2025   2     0     0     0     0     0     0     0     0     0     0     0     0
2025   3     0     0     0     0     0     0     0     0     0     0     0     0
2026   1     0     0     0     0     0     0     0     0     0     0     0     0
2026   2     0     0     0     0     0     0     0     0     0     0     0     0
2026   3     0     0     0     0     0     0     0     0     0     0     0     0
2027   1     0     0     0     0     0     0     0     0     0     0     0     0
2027   2     0     0     0     0     0     0     0     0     0     0     0     0
2027   3     0     0     0     0     0     0     0     0     0     0     0     0
2028   1     0     0     0     0     0     0     0     0     0     0     0     0
2028   2     0     0     0     0     0     0     0     0     0     0     0     0
2028   3     0     0     0     0     0     0     0     0     0     0     0     0
2029   1     0     0     0     0     0     0     0     0     0     0     0     0
2029   2     0     0     0     0     0     0     0     0     0     0     0     0
2029   3     0     0     0     0     0     0     0     0     0     0     0     0
2030   1     0     0     0     0     0     0     0     0     0     0     0     0
2030   2     0     0     0     0     0     0     0     0     0     0     0     0
2030   3     0     0     0     0     0     0     0     0     0     0     0     0
**** Load  :        82         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1     0     0     0     0     0     0     0     0     0     0     0     0
2025   2     0     0     0     0     0     0     0     0     0     0     0     0
2025   3     0     0     0     0     0     0     0     0     0     0     0     0
2026   1     0     0     0     0     0     0     0     0     0     0     0     0
2026   2     0     0     0     0     0     0     0     0     0     0     0     0
2026   3     0     0     0     0     0     0     0     0     0     0     0     0
