$version=2
**** Load  :         1         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1163.94156.75173.12 122.5104.53104.13101.75110.36137.47138.31   154141.51
2025   2243.11241.31247.45256.67272.73 273.7272.31281.19265.13263.44240.63227.29
2025   3285.96294.94279.44320.83329.74336.18346.93322.45 304.4298.25298.38 289.2
2026   1163.94156.75173.12 122.5104.53104.13101.75110.36137.47138.31   154141.51
2026   2243.11241.31247.45256.67272.73 273.7272.31281.19265.13263.44240.63227.29
2026   3285.96294.94279.44320.83329.74336.18346.93322.45 304.4298.25298.38 289.2
2027   1170.49163.02180.04 127.4108.71 108.3105.82114.78142.98143.84160.16147.16
2027   2252.83250.96257.34266.93283.64284.66283.19292.45275.74273.98250.24236.38
2027   3297.39306.73290.61333.67342.94349.64360.79335.37316.59310.18 310.3300.76
2028   1 177.3169.53187.24132.49113.06112.63110.05119.37148.69149.59166.56153.05
2028   2262.93260.99267.63 277.6294.99296.05294.52304.15286.76284.93260.24245.84
2028   3309.27318.98302.23   347356.65363.62375.23348.78329.25322.58 322.7 312.8
2029   1 184.4176.32194.73 137.8117.58117.13114.46124.15154.64155.58173.22159.18
2029   2273.45271.43278.34288.71306.79307.89306.31316.31298.24296.33270.66255.69
2029   3321.65331.75314.33360.89370.93378.17390.24362.74342.42335.49335.62325.33
2030   1191.78183.37202.52143.31122.29121.81119.04129.11160.83 161.8180.16165.55
2030   2 284.4 282.3289.48300.26319.06 320.2318.58328.96310.16308.19281.49265.91
2030   3334.52345.03 326.9375.33385.76393.29405.88377.23356.11348.91349.05338.34
**** Load  :        35         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1     0     0     0     0     0     0     0     0     0     0     0     0
2025   2     0     0     0     0     0     0     0     0     0     0     0     0
2025   3     0     0     0     0     0     0     0     0     0     0     0     0
2026   1     0     0     0     0     0     0     0     0     0     0     0     0
2026   2     0     0     0     0     0     0     0     0     0     0     0     0
2026   3     0     0     0     0     0     0     0     0     0     0     0     0
2027   1     0     0     0     0     0     0     0     0     0     0     0     0
2027   2     0     0     0     0     0     0     0     0     0     0     0     0
2027   3     0     0     0     0     0     0     0     0     0     0     0     0
2028   1     0     0     0     0     0     0     0     0     0     0     0     0
