$version=2
**** Load  :        27         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1522.32499.43563.87   420376.13   392386.13408.06485.33464.71501.33428.39
2025   2774.58768.86805.97   880981.351030.41033.31039.7   936885.16783.33 688.1
2025   3 911.1939.71910.16  11001186.51265.61316.51192.31074.71002.1971.33875.52
2026   1522.32499.43563.87   420376.13   392386.13408.06485.33464.71501.33428.39
2026   2774.58768.86805.97   880981.351030.41033.31039.7   936885.16783.33 688.1
2026   3 911.1939.71910.16  11001186.51265.61316.51192.31074.71002.1971.33875.52
2027   1543.21 519.4586.43 436.8391.18407.68401.57424.39504.74 483.3521.38445.53
2027   2805.56 799.6838.21 915.21020.61071.61074.71081.3973.43920.58814.65715.63
2027   3947.53977.29946.57  1144  12341316.21369.2  12401117.61042.21010.2910.55
2028   1564.95540.19609.87454.27406.82423.98417.64441.36524.94502.63542.24463.33
2028   2 837.8831.61871.72951.791061.41114.51117.71124.51012.4957.38847.26744.23
2028   3985.451016.4984.411189.71283.31368.8  14241289.51162.41083.91050.6946.94
2029   1587.54561.79634.28472.45 423.1440.94434.34459.01545.94522.74563.93481.87
2029   2 871.3864.86906.61989.891103.9  11591162.41169.51052.9995.69881.15774.01
2029   31024.9  10571023.81237.41334.71423.61480.91341.11208.91127.31092.6984.82
2030   1611.03584.25659.65491.35440.01458.59451.71477.37567.78543.64586.49501.16
2030   2906.13899.44942.881029.5  11481205.41208.91216.3  10951035.5916.39804.99
2030   31065.81099.31064.81286.9  13881480.61540.11394.81257.21172.31136.31024.2
**** Load  :        28         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1 65.29 62.43 70.48  52.5 47.02    49 48.27 51.01 60.67 58.09 62.67 53.55
2025   2 96.82 96.11100.75   110122.67 128.8129.17129.96   117110.65 97.92 86.01
2025   3113.89117.46113.77 137.5148.31 158.2164.56149.03134.33125.27121.42109.44
2026   1 65.29 62.43 70.48  52.5 47.02    49 48.27 51.01 60.67 58.09 62.67 53.55
2026   2 96.82 96.11100.75   110122.67 128.8129.17129.96   117110.65 97.92 86.01
2026   3113.89117.46113.77 137.5148.31 158.2164.56149.03134.33125.27121.42109.44
2027   1 66.59 63.67 71.89 53.55 47.96 49.98 49.23 52.03 61.87 59.25 63.91 54.62
2027   2 98.75 98.02102.76 112.2125.14131.37131.74132.56119.33112.87 99.86 87.74
2027   3116.16119.81116.05140.25 151.3161.35167.84152.01   137127.78123.83111.64
2028   1 67.94 64.96 73.33 54.62 48.91 50.98 50.21 53.06 63.12 60.44  65.2 55.72
2028   2100.75100.01104.81114.44127.61134.01134.38 135.2121.73115.12101.88  89.5
2028   3118.51122.23118.36143.05154.28 164.6 171.2155.04139.76130.34126.33113.88
2029   1 69.29 66.25 74.79 55.72  49.9    52 51.22 54.13 64.38 61.65 66.51 56.82
2029   2102.75101.99 106.9116.75130.19 136.7137.06137.91124.16117.42103.92 91.26
2029   3120.86124.66120.72145.93157.41 167.9174.62158.15142.56132.94128.87116.12
2030   1 70.68 67.59  76.3 56.82 50.89 53.04 52.25 55.21 65.66 62.87 67.82 57.96
2030   2104.82104.05109.05119.06132.78139.42139.82140.67126.64119.75105.97 93.09
2030   3 123.3127.17123.15148.82160.53171.24178.13161.32 145.4135.58131.41118.45
**** Load  :        69         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1     0     0     0     0     0 37.96 163.9192.74196.34118.61     0 22.64
2025   2     0     0     0     0     0 56.29252.32226.87397.64320.32     0  60.6
2025   3     0     0     0     0     0 66.21290.41159.38 71.17     0     0     0
2026   1     0     0     0     0     0 37.96 163.9192.74196.34118.61     0 22.64
2026   2     0     0     0     0     0 56.29252.32226.87397.64320.32     0  60.6
2026   3     0     0     0     0     0 66.21290.41159.38 71.17     0     0     0
2027   1     0     0     0     0     0 37.96 163.9192.74196.34118.61     0 22.64
2027   2     0     0     0     0     0 56.29252.32226.87397.64320.32     0  60.6
2027   3     0     0     0     0     0 66.21290.41159.38 71.17     0     0     0
2028   1     0     0     0     0     0 37.96 163.9192.74196.34118.61     0 22.64
2028   2     0     0     0     0     0 56.29252.32226.87397.64320.32     0  60.6
2028   3     0     0     0     0     0 66.21290.41159.38 71.17     0     0     0
2029   1     0     0     0     0     0 37.96 163.9192.74196.34118.61     0 22.64
2029   2     0     0     0     0     0 56.29252.32226.87397.64320.32     0  60.6
2029   3     0     0     0     0     0 66.21290.41159.38 71.17     0     0     0
2030   1     0     0     0     0     0 37.96 163.9192.74196.34118.61     0 22.64
2030   2     0     0     0     0     0 56.29252.32226.87397.64320.32     0  60.6
2030   3     0     0     0     0     0 66.21290.41159.38 71.17     0     0     0
**** Load  :        70         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1     0     0     0     0     0     0     0     0     0     0     0     0
2025   2     0     0     0     0     0     0     0     0     0     0     0     0
2025   3     0     0     0     0     0     0     0     0     0     0     0     0
2026   1     0     0     0     0     0     0     0     0     0     0     0     0
2026   2     0     0     0     0     0     0     0     0     0     0     0     0
2026   3     0     0     0     0     0     0     0     0     0     0     0     0
2027   1     0     0     0     0     0     0     0     0     0     0     0     0
2027   2     0     0     0     0     0     0     0     0     0     0     0     0
2027   3     0     0     0     0     0     0     0     0     0     0     0     0
2028   1     0     0     0     0     0     0     0     0     0     0     0     0
2028   2     0     0     0     0     0     0     0     0     0     0     0     0
2028   3     0     0     0     0     0     0     0     0     0     0     0     0
2029   1     0     0     0     0     0     0     0     0     0     0     0     0
2029   2     0     0     0     0     0     0     0     0     0     0     0     0
2029   3     0     0     0     0     0     0     0     0     0     0     0     0
2030   1     0     0     0     0     0     0     0     0     0     0     0     0
2030   2     0     0     0     0     0     0     0     0     0     0     0     0
2030   3     0     0     0     0     0     0     0     0     0     0     0     0
**** Load  :        71         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1     0     0     0     0     0     0     0     0     0     0     0     0
2025   2     0     0     0     0     0     0     0     0     0     0     0     0
2025   3     0     0     0     0     0     0     0     0     0     0     0     0
2026   1     0     0     0     0     0     0     0     0     0     0     0     0
2026   2     0     0     0     0     0     0     0     0     0     0     0     0
2026   3     0     0     0     0     0     0     0     0     0     0     0     0
2027   1     0     0     0     0     0     0     0     0     0     0     0     0
2027   2     0     0     0     0     0     0     0     0     0     0     0     0
2027   3     0     0     0     0     0     0     0     0     0     0     0     0
2028   1     0     0     0     0     0     0     0     0     0     0     0     0
2028   2     0     0     0     0     0     0     0     0     0     0     0     0
2028   3     0     0     0     0     0     0     0     0     0     0     0     0
2029   1     0     0     0     0     0     0     0     0     0     0     0     0
2029   2     0     0     0     0     0     0     0     0     0     0     0     0
2029   3     0     0     0     0     0     0     0     0     0     0     0     0
2030   1     0     0     0     0     0     0     0     0     0     0     0     0
2030   2     0     0     0     0     0     0     0     0     0     0     0     0
2030   3     0     0     0     0     0     0     0     0     0     0     0     0
**** Load  :        75         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1     0     0     0     0     0     0     0     0     0     0     0     0
2025   2     0     0     0     0     0     0     0     0     0     0     0     0
2025   3     0     0     0     0     0     0     0     0     0     0     0     0
2026   1     0     0     0     0     0     0     0     0     0     0     0     0
2026   2     0     0     0     0     0     0     0     0     0     0     0     0
2026   3     0     0     0     0     0     0     0     0     0     0     0     0
2027   1     0     0     0     0     0     0     0     0     0     0     0     0
2027   2     0     0     0     0     0     0     0     0     0     0     0     0
2027   3     0     0     0     0     0     0     0     0     0     0     0     0
2028   1     0     0     0     0     0     0     0     0     0     0     0     0
2028   2     0     0     0     0     0     0     0     0     0     0     0     0
2028   3     0     0     0     0     0     0     0     0     0     0     0     0
2029   1     0     0     0     0     0     0     0     0     0     0     0     0
2029   2     0     0     0     0     0     0     0     0     0     0     0     0
2029   3     0     0     0     0     0     0     0     0     0     0     0     0
2030   1     0     0     0     0     0     0     0     0     0     0     0     0
2030   2     0     0     0     0     0     0     0     0     0     0     0     0
2030   3     0     0     0     0     0     0     0     0     0     0     0     0
**** Load  :        77         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1     0     0     0     0     0     0     0     0     0     0     0     0
2025   2     0     0     0     0     0     0     0     0     0     0     0     0
2025   3     0     0     0     0     0     0     0     0     0     0     0     0
2026   1     0     0     0     0     0     0     0     0     0     0     0     0
2026   2     0     0     0     0     0     0     0     0     0     0     0     0
2026   3     0     0     0     0     0     0     0     0     0     0     0     0
2027   1     0     0     0     0     0     0     0     0     0     0     0     0
2027   2     0     0     0     0     0     0     0     0     0     0     0     0
2027   3     0     0     0     0     0     0     0     0     0     0     0     0
2028   1     0     0     0     0     0     0     0     0     0     0     0     0
2028   2     0     0     0     0     0     0     0     0     0     0     0     0
2028   3     0     0     0     0     0     0     0     0     0     0     0     0
2029   1     0     0     0     0     0     0     0     0     0     0     0     0
2029   2     0     0     0     0     0     0     0     0     0     0     0     0
2029   3     0     0     0     0     0     0     0     0     0     0     0     0
2030   1     0     0     0     0     0     0     0     0     0     0     0     0
2030   2     0     0     0     0     0     0     0     0     0     0     0     0
2030   3     0     0     0     0     0     0     0     0     0     0     0     0
**** Load  :        29         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1348.22332.95375.91   280250.75261.33257.42272.04323.56309.81334.22285.59
2025   2516.39512.57537.31586.67654.24686.93 688.9693.12   624590.11522.22458.73
2025   3 607.4626.48606.77733.33791.01843.73877.68794.84716.44668.09647.56583.68
