$version=1
!Code,Name,Commodity,Node,Segto,Elast,SourceType
18,Catu  nivel 1 (inelastico),1,20,1,0,3
19,polo de Camacari  nivel 1 (inelastico),1,21,1,0,3
20,polo de Camacari  nivel 2 (elastico),1,21,1,1,3
78,APOENA V2,1,21,1,0,3
79,BIRIBEIRA I,1,21,1,0,3
80,CORCOVADO 03,1,21,1,0,3
81,CORCOVADO 04,1,21,1,0,3
82,CORCOVADO 05,1,21,1,0,3
83,CORCOVADO 06,1,21,1,0,3
103,PROSPERI III,1,21,1,0,3
104,PROSPERI IV,1,21,1,0,3
105,PROSPERID II,1,21,1,0,3
106,PROSPERID IV,1,21,1,0,3
107,PROSPERIDADE,1,21,1,0,3
108,SFE GUARANI,1,21,1,0,3
110,TERMOBAHIA,1,21,1,0,3
21,Carmopolis  nivel 1 (inelastico),1,23,1,0,3
93,P. SERGIPE 2,1,24,1,0,3
94,P. SERGIPE 3,1,24,1,0,3
95,P. SERGIPE 5,1,24,1,0,3
116,SERGI_5_2LRC,1,24,1,0,3
22,Pilar  nivel 1 (inelastico),1,25,1,0,3
88,MANGUABA I,1,25,1,0,3
89,MANGUABA II,1,25,1,0,3
90,MANGUABA III,1,25,1,0,3
91,MANGUABA IV,1,25,1,0,3
92,MANGUABA V,1,25,1,0,3
96,PILAR,1,25,1,0,3
97,PILAR I,1,25,1,0,3
98,PILAR II,1,25,1,0,3
99,PILAR III,1,25,1,0,3
100,PILAR IV,1,25,1,0,3
101,PILAR NOVA,1,25,1,0,3
102,PILAR V,1,25,1,0,3
23,Cabo / Suape  nivel 1 (inelastico),1,26,1,0,3
24,Cabo / Suape  nivel 2 (elastico),1,26,1,1,3
84,FREVO,1,26,1,0,3
87,JOAO PESSOA,1,26,1,0,3
109,SUAPE IV B,1,26,1,0,3
112,TERMONE II,1,26,1,0,3
113,TERMOPE,1,26,1,0,3
115,MFUJI_2LRC,1,26,1,0,3
25,Guamare / RN  nivel 1 (inelastico),1,27,1,0,3
114,VALE DO ACU,1,27,1,0,3
26,Fortaleza  nivel 1 (inelastico),1,28,1,0,3
85,JANDAIA II,1,28,1,0,3
86,JANDAIA III,1,28,1,0,3
111,TERMOCEARA,1,28,1,0,3
130,PORTOCEM I,1,29,1,0,3
