$version=1
!Code,Name,Commodity,Node,Segto,Elast,SourceType
33,Manaus  nivel 1 (inelastico),1,38,1,0,3
117,APARECIDA,1,38,1,0,3
118,JARAQUI,1,38,1,0,3
119,MANAUS I,1,38,1,0,3
123,MAUA 3,1,38,1,0,3
129,PIRARUCU,1,38,1,0,3
131,TUCUNARE,1,38,1,0,3
120,MARANHAO III,1,39,1,0,3
121,MARANHAO IV,1,39,1,0,3
122,MARANHAO V,1,39,1,0,3
124,N.VENECIA 2,1,39,1,0,3
127,PARNAIBA IV,1,39,1,0,3
128,PARNAIBA V,1,39,1,0,3
132,MARAN V 2LRC,1,39,1,0,3
133,MARAN 4 2LRC,1,39,1,0,3
134,SCLARA_2LRC,1,39,1,0,3
125,NT BARCAR II,1,40,1,0,3
126,NT BARCARENA,1,40,1,0,3
