$version=1
!Conv,Node,NodeType,Type,Quantity,HasCapacity,Capacity,HasCost,Cost,HasRampUp,RampUp,HasRampDown,RampDown
1,41,0,1,1,1,30000,0,0,0,0,0,0
1,14,0,0,0.98,0,0,0,0,0,0,0,0
2,42,0,1,1,1,14000,0,0,0,0,0,0
2,22,0,0,0.985,0,0,0,0,0,0,0,0
3,43,0,1,1,1,7000,0,0,0,0,0,0
3,29,0,0,0.985,0,0,0,0,0,0,0,0
4,44,0,1,1,1,21000,0,0,0,0,0,0
4,24,0,0,0.985,0,0,0,0,0,0,0,0
5,45,0,1,1,1,21000,0,0,0,0,0,0
5,17,0,0,0.985,0,0,0,0,0,0,0,0
6,46,0,1,1,1,14000,0,0,0,0,0,0
6,8,0,0,0.985,0,0,0,0,0,0,0,0
7,47,0,1,1,1,15000,0,0,0,0,0,0
7,32,0,0,0.985,0,0,0,0,0,0,0,0
8,48,0,1,1,1,15000,0,0,0,0,0,0
8,40,0,0,0.985,0,0,0,0,0,0,0,0
9,59,0,1,1,1,14000,0,0,0,0,0,0
9,26,0,0,0.985,0,0,0,0,0,0,0,0
