Varies per block?       ,    1,Unit    ,GWh    ,     2,     1,  2027
Varies per sequence?    ,    0
# of agents             ,    4
Stag,Seq.,Blck,SUDESTE,NORDESTE,NORTE,SUL
   1,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   1,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   1,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   2,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   2,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   2,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   3,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   3,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   3,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   4,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   4,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   4,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   5,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   5,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   5,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   6,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   6,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   6,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   7,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   7,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   7,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   8,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   8,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   8,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   9,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   9,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
   9,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
  10,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
  10,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
  10,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
  11,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
  11,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
  11,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
  12,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
  12,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
  12,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000        
