Varies per block?       ,    1,Unit    ,h      ,     2,     1,  2027
Varies per sequence?    ,    0
# of agents             ,    4
Stag,Seq.,Blck,SUDESTE,NORDESTE,NORTE,SUL
   1,   1,   1,  176.00    ,  176.00    ,  176.00    ,  176.00        
   1,   1,   2,  261.00    ,  261.00    ,  261.00    ,  261.00        
   1,   1,   3,  307.00    ,  307.00    ,  307.00    ,  307.00        
   2,   1,   1,  152.00    ,  152.00    ,  152.00    ,  152.00        
   2,   1,   2,  234.00    ,  234.00    ,  234.00    ,  234.00        
   2,   1,   3,  286.00    ,  286.00    ,  286.00    ,  286.00        
   3,   1,   1,  184.00    ,  184.00    ,  184.00    ,  184.00        
   3,   1,   2,  263.00    ,  263.00    ,  263.00    ,  263.00        
   3,   1,   3,  297.00    ,  297.00    ,  297.00    ,  297.00        
   4,   1,   1,  126.00    ,  126.00    ,  126.00    ,  126.00        
   4,   1,   2,  264.00    ,  264.00    ,  264.00    ,  264.00        
   4,   1,   3,  330.00    ,  330.00    ,  330.00    ,  330.00        
   5,   1,   1,  110.00    ,  110.00    ,  110.00    ,  110.00        
   5,   1,   2,  287.00    ,  287.00    ,  287.00    ,  287.00        
   5,   1,   3,  347.00    ,  347.00    ,  347.00    ,  347.00        
   6,   1,   1,  105.00    ,  105.00    ,  105.00    ,  105.00        
   6,   1,   2,  276.00    ,  276.00    ,  276.00    ,  276.00        
   6,   1,   3,  339.00    ,  339.00    ,  339.00    ,  339.00        
   7,   1,   1,  105.00    ,  105.00    ,  105.00    ,  105.00        
   7,   1,   2,  281.00    ,  281.00    ,  281.00    ,  281.00        
   7,   1,   3,  358.00    ,  358.00    ,  358.00    ,  358.00        
   8,   1,   1,  115.00    ,  115.00    ,  115.00    ,  115.00        
   8,   1,   2,  293.00    ,  293.00    ,  293.00    ,  293.00        
   8,   1,   3,  336.00    ,  336.00    ,  336.00    ,  336.00        
   9,   1,   1,  140.00    ,  140.00    ,  140.00    ,  140.00        
   9,   1,   2,  270.00    ,  270.00    ,  270.00    ,  270.00        
   9,   1,   3,  310.00    ,  310.00    ,  310.00    ,  310.00        
  10,   1,   1,  147.00    ,  147.00    ,  147.00    ,  147.00        
  10,   1,   2,  280.00    ,  280.00    ,  280.00    ,  280.00        
  10,   1,   3,  317.00    ,  317.00    ,  317.00    ,  317.00        
  11,   1,   1,  160.00    ,  160.00    ,  160.00    ,  160.00        
  11,   1,   2,  250.00    ,  250.00    ,  250.00    ,  250.00        
  11,   1,   3,  310.00    ,  310.00    ,  310.00    ,  310.00        
  12,   1,   1,  160.00    ,  160.00    ,  160.00    ,  160.00        
  12,   1,   2,  257.00    ,  257.00    ,  257.00    ,  257.00        
  12,   1,   3,  327.00    ,  327.00    ,  327.00    ,  327.00        
