Varies per block?       ,    1,Unit    ,pu     ,     2,     1,  2027
Varies per sequence?    ,    0
# of agents             ,    1
Stag,Seq.,Blck,Length
   1,   1,   1, 0.23656                                               
   1,   1,   2, 0.35081                                               
   1,   1,   3, 0.41263                                               
   2,   1,   1, 0.22619                                               
   2,   1,   2, 0.34821                                               
   2,   1,   3, 0.42560                                               
   3,   1,   1, 0.24731                                               
   3,   1,   2, 0.35349                                               
   3,   1,   3, 0.39919                                               
   4,   1,   1, 0.17500                                               
   4,   1,   2, 0.36667                                               
   4,   1,   3, 0.45833                                               
   5,   1,   1, 0.14785                                               
   5,   1,   2, 0.38575                                               
   5,   1,   3, 0.46640                                               
   6,   1,   1, 0.14583                                               
   6,   1,   2, 0.38333                                               
   6,   1,   3, 0.47083                                               
   7,   1,   1, 0.14113                                               
   7,   1,   2, 0.37769                                               
   7,   1,   3, 0.48118                                               
   8,   1,   1, 0.15457                                               
   8,   1,   2, 0.39382                                               
   8,   1,   3, 0.45161                                               
   9,   1,   1, 0.19444                                               
   9,   1,   2, 0.37500                                               
   9,   1,   3, 0.43056                                               
  10,   1,   1, 0.19758                                               
  10,   1,   2, 0.37634                                               
  10,   1,   3, 0.42608                                               
  11,   1,   1, 0.22222                                               
  11,   1,   2, 0.34722                                               
  11,   1,   3, 0.43056                                               
  12,   1,   1, 0.21505                                               
  12,   1,   2, 0.34543                                               
  12,   1,   3, 0.43952                                               
