Varies per block?       ,    1,Unit    ,kUE    ,     2,     1,  2027
Varies per sequence?    ,    1
# of agents             ,  134
Stag,Seq.,Blck,Campo Grande  nivel 1 (inelastico),CAMPO GRANDE,W. ARJONA,W. ARJONA II,Tres Lagoas  nivel 1 (inelastico),TRES LAGOAS,T LAG 2LRC,Paulinia e interior SP  nivel 1 (inelastico),PAULINIA VER,RM Sao Paulo (Capuava)  nivel 1 (inelastico),RM Sao Paulo (Capuava)  nivel 2 (elastico),CELPAV IV,N.PIRATINING,Cubatao / baixada santista  nivel 1 (inelastico),CUBATAO,Vale do Paraiba  nivel 1 (inelastico),Volta Redonda  nivel 1 (inelastico),Japeri  nivel 1 (inelastico),BAIXADA FLU,SEROPEDICA,STC NOVA LRC,REDUC / Duque de Caxias  nivel 1 (inelastico),REDUC / Duque de Caxias  nivel 2 (elastico),NOVA ERA,TERMORIO,TUPAN,polo Itaborai (GasLub)  nivel 1 (inelastico),MARLIM AZUL,NORTEFLU,NORTEFLU IC,NORTEFLU ID,TERMOMACAE,TMAC 2LRC,PNFLU2C_2LRC,PNFLUB_2LRC,GNA I,GNA II,Grande Vitoria  nivel 1 (inelastico),VIANA 1,Linhares (Cacimbas)  nivel 1 (inelastico),LINHARES,LORM 2LRC,POVOACAO 1,SAO MATEUS 1,SAO MATEUS 2,Cuiaba  nivel 1 (inelastico),CUIABA G CC,GDE CUIABA,RM Belo Horizonte  nivel 1 (inelastico),RM Belo Horizonte  nivel 2 (elastico),IBIRITE,JUIZ DE FORA,Catu  nivel 1 (inelastico),polo de Camacari  nivel 1 (inelastico),polo de Camacari  nivel 2 (elastico),APOENA V2,BIRIBEIRA I,CORCOVADO 03,CORCOVADO 04,CORCOVADO 05,CORCOVADO 06,PROSPERI III,PROSPERI IV,PROSPERID II,PROSPERID IV,PROSPERIDADE,SFE GUARANI,TERMOBAHIA,Carmopolis  nivel 1 (inelastico),P. SERGIPE 2,P. SERGIPE 3,P. SERGIPE 5,SERGI_5_2LRC,Pilar  nivel 1 (inelastico),MANGUABA I,MANGUABA II,MANGUABA III,MANGUABA IV,MANGUABA V,PILAR,PILAR I,PILAR II,PILAR III,PILAR IV,PILAR NOVA,PILAR V,Cabo / Suape  nivel 1 (inelastico),Cabo / Suape  nivel 2 (elastico),FREVO,JOAO PESSOA,SUAPE IV B,TERMONE II,TERMOPE,MFUJI_2LRC,Guamare / RN  nivel 1 (inelastico),VALE DO ACU,Fortaleza  nivel 1 (inelastico),JANDAIA II,JANDAIA III,TERMOCEARA,PORTOCEM I,Manaus  nivel 1 (inelastico),APARECIDA,JARAQUI,MANAUS I,MAUA 3,PIRARUCU,TUCUNARE,MARANHAO III,MARANHAO IV,MARANHAO V,N.VENECIA 2,PARNAIBA IV,PARNAIBA V,MARAN V 2LRC,MARAN 4 2LRC,SCLARA_2LRC,NT BARCAR II,NT BARCARENA,RM Curitiba (Araucaria)  nivel 1 (inelastico),RM Curitiba (Araucaria)  nivel 2 (elastico),ARAUCARIA,ARAUCARIA II,B. BONITA I,ARAUCA 2LRC,GARUVA_2LRC,Grande Florianopolis  nivel 1 (inelastico),Grande Florianopolis  nivel 2 (elastico),TROMBUDO,TROMBUDO II,Canoas / RM Porto Alegre  nivel 1 (inelastico),Canoas / RM Porto Alegre  nivel 2 (elastico),URUGUAIANA,URUG 2LRC
   1,   1,   1, 0.17049    ,  0.0000    ,  0.0000    ,  0.0000    , 0.19391    ,  0.0000    ,  0.0000    , 0.48478    ,  0.0000    ,  2.1921    , 0.59719    ,  0.0000    , 0.28418    , 0.36359    ,  0.0000    , 0.36534    , 0.21815    , 0.97420E-01,  3.1661    ,  0.0000    ,  0.0000    , 0.53583    , 0.14333    ,  0.0000    ,  0.0000    ,  0.0000    , 0.12762    ,  10.188    ,  0.0000    ,  0.0000    ,  0.0000    , 0.31812    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  42.313    , 0.34277    ,  0.0000    , 0.48020E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.35650E-01,  0.0000    ,  0.0000    , 0.93488    , 0.19303    ,  0.0000    , 0.47160E-01, 0.14690    , 0.63658    , 0.16890    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.31356    ,  0.0000    ,  0.0000    ,  0.0000    , 0.17397    ,  0.0000    ,  0.0000    , 0.14406    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.96040E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.61884    , 0.12065    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.19209    ,  0.0000    , 0.29523    ,  0.0000    ,  0.0000    , 0.10410E-01,  0.0000    , 0.24011    ,  4.1519    ,  1.5940    ,  0.0000    ,  12.354    ,  1.6951    ,  1.6951    ,  10.284    ,  9.1110    ,  8.8652    ,  4.4109    ,  0.0000    ,  3.1445    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.54321    , 0.66590E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.36215    , 0.44400E-01,  0.0000    ,  0.0000    , 0.53141    , 0.86860E-01,  0.0000    ,  0.0000      
   1,   1,   2, 0.25283    ,  0.0000    ,  0.0000    ,  0.0000    , 0.28756    ,  0.0000    ,  0.0000    , 0.71891    ,  0.0000    ,  3.2507    , 0.88561    ,  0.0000    , 0.72403    , 0.53919    ,  0.0000    , 0.54179    , 0.32351    , 0.14446    ,  7.0424    ,  0.0000    ,  0.0000    , 0.79461    , 0.21255    ,  0.0000    ,  0.0000    ,  0.0000    , 0.18926    ,  25.172    ,  0.0000    ,  0.0000    ,  0.0000    , 0.81052    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  107.81    , 0.50832    ,  0.0000    , 0.71210E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.52870E-01,  0.0000    ,  0.0000    ,  1.3864    , 0.28626    ,  0.0000    , 0.12015    , 0.21785    , 0.94402    , 0.25048    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.70337    ,  0.0000    ,  0.0000    ,  0.0000    , 0.39057    ,  0.0000    ,  0.0000    , 0.21364    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.14243    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.91771    , 0.17891    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.28485    ,  0.0000    , 0.43781    ,  0.0000    ,  0.0000    , 0.26530E-01,  0.0000    , 0.35607    ,  10.578    ,  4.0612    ,  0.0000    ,  31.476    ,  4.3188    ,  4.3188    ,  26.201    ,  18.621    ,  18.298    ,  11.238    ,  0.0000    ,  7.2541    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.80556    , 0.98750E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.53705    , 0.65850E-01,  0.0000    ,  0.0000    , 0.78805    , 0.12882    ,  0.0000    ,  0.0000      
   1,   1,   3, 0.29739    ,  0.0000    ,  0.0000    ,  0.0000    , 0.33824    ,  0.0000    ,  0.0000    , 0.84561    ,  0.0000    ,  3.8236    ,  1.0417    ,  0.0000    , 0.83029    , 0.63422    ,  0.0000    , 0.63727    , 0.38053    , 0.16992    ,  8.0849    ,  0.0000    ,  0.0000    , 0.93466    , 0.25002    ,  0.0000    ,  0.0000    ,  0.0000    , 0.22262    ,  28.866    ,  0.0000    ,  0.0000    ,  0.0000    , 0.92947    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  123.63    , 0.59791    ,  0.0000    , 0.83760E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.62180E-01,  0.0000    ,  0.0000    ,  1.6307    , 0.33671    ,  0.0000    , 0.13778    , 0.25625    ,  1.1104    , 0.29462    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.80659    ,  0.0000    ,  0.0000    ,  0.0000    , 0.44789    ,  0.0000    ,  0.0000    , 0.25129    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.16753    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.0795    , 0.21044    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.33506    ,  0.0000    , 0.51497    ,  0.0000    ,  0.0000    , 0.30420E-01,  0.0000    , 0.41882    ,  12.131    ,  4.6572    ,  0.0000    ,  36.096    ,  4.9526    ,  4.9526    ,  30.046    ,  21.339    ,  20.771    ,  12.888    ,  0.0000    ,  8.3461    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.94753    , 0.11616    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.63170    , 0.77450E-01,  0.0000    ,  0.0000    , 0.92694    , 0.15152    ,  0.0000    ,  0.0000      
   2,   1,   1, 0.16302    ,  0.0000    ,  0.0000    ,  0.0000    , 0.18541    ,  0.0000    ,  0.0000    , 0.45885    ,  0.0000    ,  2.0748    , 0.56525    ,  0.0000    ,  0.0000    , 0.34413    ,  0.0000    , 0.34580    , 0.20859    , 0.93150E-01,  6.6720    ,  0.0000    ,  0.0000    , 0.51234    , 0.13705    ,  0.0000    ,  0.0000    ,  0.0000    , 0.12203    ,  11.715    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  51.511    , 0.32775    ,  0.0000    , 0.45920E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.34090E-01,  0.0000    ,  0.0000    , 0.88497    , 0.18272    ,  0.0000    ,  0.0000    , 0.14046    , 0.60868    , 0.16150    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.56656    ,  0.0000    ,  0.0000    ,  0.0000    , 0.29842    ,  0.0000    ,  0.0000    , 0.13775    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.91830E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.59171    , 0.11536    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.18367    ,  0.0000    , 0.28229    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.22958    ,  5.1128    ,  1.9405    ,  0.0000    ,  15.040    ,  2.0636    ,  2.0636    ,  12.515    ,  10.323    ,  10.140    ,  5.3699    ,  0.0000    ,  3.9670    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  9.6735    , 0.51940    , 0.63670E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.34628    , 0.42460E-01,  0.0000    ,  0.0000    , 0.51377    , 0.83980E-01,  0.0000    ,  0.0000      
   2,   1,   2, 0.25096    ,  0.0000    ,  0.0000    ,  0.0000    , 0.28543    ,  0.0000    ,  0.0000    , 0.70639    ,  0.0000    ,  3.1941    , 0.87019    ,  0.0000    ,  0.0000    , 0.52977    ,  0.0000    , 0.53235    , 0.32112    , 0.14339    ,  11.735    ,  0.0000    ,  0.0000    , 0.78874    , 0.21098    ,  0.0000    ,  0.0000    ,  0.0000    , 0.18786    ,  22.145    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  99.343    , 0.50456    ,  0.0000    , 0.70690E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.52480E-01,  0.0000    ,  0.0000    ,  1.3624    , 0.28129    ,  0.0000    ,  0.0000    , 0.21624    , 0.93704    , 0.24863    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.0716    ,  0.0000    ,  0.0000    ,  0.0000    , 0.54487    ,  0.0000    ,  0.0000    , 0.21206    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.14138    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.91093    , 0.17759    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.28275    ,  0.0000    , 0.43457    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.35344    ,  9.8604    ,  3.7411    ,  0.0000    ,  28.965    ,  3.9721    ,  3.9721    ,  24.129    ,  19.633    ,  19.052    ,  10.356    ,  0.0000    ,  7.4899    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  18.656    , 0.79960    , 0.98020E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.53308    , 0.65360E-01,  0.0000    ,  0.0000    , 0.79093    , 0.12929    ,  0.0000    ,  0.0000      
   2,   1,   3, 0.30673    ,  0.0000    ,  0.0000    ,  0.0000    , 0.34886    ,  0.0000    ,  0.0000    , 0.86336    ,  0.0000    ,  3.9039    ,  1.0636    ,  0.0000    ,  0.0000    , 0.64750    ,  0.0000    , 0.65065    , 0.39248    , 0.17526    ,  13.521    ,  0.0000    ,  0.0000    , 0.96402    , 0.25787    ,  0.0000    ,  0.0000    ,  0.0000    , 0.22961    ,  25.398    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  114.06    , 0.61669    ,  0.0000    , 0.86400E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.64140E-01,  0.0000    ,  0.0000    ,  1.6651    , 0.34380    ,  0.0000    ,  0.0000    , 0.26429    ,  1.1453    , 0.30388    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.2239    ,  0.0000    ,  0.0000    ,  0.0000    , 0.62559    ,  0.0000    ,  0.0000    , 0.25919    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.17279    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.1134    , 0.21705    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.34558    ,  0.0000    , 0.53114    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.43198    ,  11.321    ,  4.2968    ,  0.0000    ,  33.303    ,  4.5694    ,  4.5606    ,  27.704    ,  22.426    ,  21.965    ,  11.890    ,  0.0000    ,  8.5656    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  21.420    , 0.97729    , 0.11981    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.65154    , 0.79880E-01,  0.0000    ,  0.0000    , 0.96670    , 0.15802    ,  0.0000    ,  0.0000      
   3,   1,   1, 0.18004    ,  0.0000    ,  0.0000    ,  0.0000    , 0.20477    ,  0.0000    ,  0.0000    , 0.51194    ,  0.0000    ,  2.3148    , 0.63065    ,  0.0000    ,  0.0000    , 0.38395    ,  0.0000    , 0.38581    , 0.23037    , 0.10288    ,  7.8033    ,  0.0000    ,  0.0000    , 0.56585    , 0.15135    ,  0.0000    ,  0.0000    ,  0.0000    , 0.13478    ,  9.8129    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  51.679    , 0.35835    ,  0.0000    , 0.50200E-01, 0.46172    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.37640E-01,  0.0000    ,  0.0000    , 0.97738    , 0.20181    ,  0.0000    ,  0.0000    , 0.15358    , 0.66552    , 0.17658    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.62577    ,  0.0000    ,  0.0000    ,  0.0000    , 0.29564    ,  0.0000    ,  0.0000    , 0.15061    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.10041    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.64697    , 0.12613    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.20082    ,  0.0000    , 0.30865    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.25102    ,  3.5618    ,  1.9146    ,  0.0000    ,  12.964    ,  2.0382    ,  1.9418    ,  12.395    ,  6.1499    ,  6.0512    ,  2.6573    ,  0.0000    ,  4.1898    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  13.522    , 0.58643    , 0.71890E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.39095    , 0.47930E-01,  0.0000    ,  0.0000    , 0.58024    , 0.94840E-01,  0.0000    ,  0.0000      
   3,   1,   2, 0.25734    ,  0.0000    ,  0.0000    ,  0.0000    , 0.29269    ,  0.0000    ,  0.0000    , 0.73173    ,  0.0000    ,  3.3087    , 0.90141    ,  0.0000    ,  0.0000    , 0.54880    ,  0.0000    , 0.55145    , 0.32928    , 0.14705    ,  14.734    ,  0.0000    ,  0.0000    , 0.80880    , 0.21634    ,  0.0000    ,  0.0000    ,  0.0000    , 0.19265    ,  18.380    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  98.437    , 0.51221    ,  0.0000    , 0.71760E-01, 0.84690    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.53800E-01,  0.0000    ,  0.0000    ,  1.3970    , 0.28845    ,  0.0000    ,  0.0000    , 0.21952    , 0.95125    , 0.25240    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.1308    ,  0.0000    ,  0.0000    ,  0.0000    , 0.52770    ,  0.0000    ,  0.0000    , 0.21528    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.14352    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.92474    , 0.18028    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.28704    ,  0.0000    , 0.44116    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.35880    ,  6.7473    ,  3.6232    ,  0.0000    ,  24.574    ,  3.8611    ,  3.6787    ,  23.608    ,  11.506    ,  11.174    ,  5.0349    ,  0.0000    ,  7.8312    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  25.756    , 0.83821    , 0.10276    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.55880    , 0.68510E-01,  0.0000    ,  0.0000    , 0.82937    , 0.13557    ,  0.0000    ,  0.0000      
   3,   1,   3, 0.29061    ,  0.0000    ,  0.0000    ,  0.0000    , 0.33053    ,  0.0000    ,  0.0000    , 0.82633    ,  0.0000    ,  3.7364    ,  1.0179    ,  0.0000    ,  0.0000    , 0.61975    ,  0.0000    , 0.62274    , 0.37185    , 0.16606    ,  16.698    ,  0.0000    ,  0.0000    , 0.91335    , 0.24431    ,  0.0000    ,  0.0000    ,  0.0000    , 0.21756    ,  20.838    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  111.44    , 0.57843    ,  0.0000    , 0.81040E-01, 0.95881    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.60760E-01,  0.0000    ,  0.0000    ,  1.5776    , 0.32574    ,  0.0000    ,  0.0000    , 0.24790    ,  1.0742    , 0.28502    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.2802    ,  0.0000    ,  0.0000    ,  0.0000    , 0.59743    ,  0.0000    ,  0.0000    , 0.24311    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.16207    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.0443    , 0.20359    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.32415    ,  0.0000    , 0.49819    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.40518    ,  7.6389    ,  4.1020    ,  0.0000    ,  27.821    ,  4.3714    ,  4.1649    ,  26.728    ,  12.891    ,  12.679    ,  5.7002    ,  0.0000    ,  8.7077    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  29.159    , 0.94657    , 0.11605    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.63105    , 0.77360E-01,  0.0000    ,  0.0000    , 0.93659    , 0.15309    ,  0.0000    ,  0.0000      
   4,   1,   1, 0.12740    ,  0.0000    ,  0.0000    ,  0.0000    , 0.14490    ,  0.0000    ,  0.0000    , 0.36225    ,  0.0000    ,  1.6380    , 0.44625    ,  0.0000    ,  0.0000    , 0.27169    ,  0.0000    , 0.27300    , 0.16301    , 0.72800E-01,  8.1225    ,  0.0000    ,  0.0000    , 0.40040    , 0.10710    ,  0.0000    ,  0.0000    ,  0.0000    , 0.95380E-01,  12.558    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.21995    ,  45.004    , 0.25358    ,  0.0000    , 0.35530E-01,  1.1354    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.26640E-01,  0.0000    ,  0.0000    , 0.69160    , 0.14280    ,  0.0000    ,  0.0000    , 0.10868    , 0.47093    , 0.12495    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.70946    ,  0.0000    ,  0.0000    ,  0.0000    , 0.26646    ,  0.0000    ,  0.0000    , 0.10658    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.71050E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.45780    , 0.89250E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.14210    ,  0.0000    , 0.21840    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.17763    ,  3.7642    ,  1.9655    ,  0.0000    ,  13.496    ,  2.1124    ,  2.0136    ,  13.999    ,  6.8476    ,  6.6561    ,  3.2059    ,  0.0000    ,  4.7858    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  14.718    , 0.43680    , 0.53550E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.29120    , 0.35700E-01,  0.0000    ,  0.0000    , 0.43680    , 0.71400E-01,  0.0000    ,  0.0000      
