Varies per block?       ,    1,Unit    ,k$/UE/d,     2,     1,  2027
Varies per sequence?    ,    1
# of agents             ,   26
Stag,Seq.,Blck,Biometano  cluster interior SP (Paulinia),Rota 1  pre-sal Santos (UTGCA),Biometano  cluster Japeri (RJ),Rota 3  pre-sal (Boaventura),Rota 2  pre-sal (Cabiunas),BM-C-33 / Raia (Cabiunas),Producao capixaba (Cacimbas),Producao Bolivia (Rio Grande),Exportacao Argentina p/ Bolivia (Campo Duran),GNL firme DES  B. Guanabara,GNL firme DES  Acu,GNL firme DES  Santos,GNL spot  mercado internacional,Producao Bahia (Manati + Reconcavo),Producao onshore SE/AL (Carmopolis),SEAP  Sergipe Aguas Profundas,Producao RN (Guamare),GNL firme DES  Bahia,GNL firme DES  Pecem,GNL firme DES  Sergipe,GNL firme DES  Suape,Producao Urucu,Producao Parnaiba,GNL firme DES  Barcarena,Exportacao Argentina p/ TSB (Paso de los Libres),GNL firme DES  Babitonga (TGS)
   1,   1,   1, 0.10938E-01,  0.0000    , 0.11363E-01,  0.0000    ,  0.0000    , 0.13636E-02, 0.23828E-02,  0.0000    , 0.36136E-01, 0.27174E-01,  0.0000    , 0.26555E-01, 0.35264E-02, 0.32035E-02, 0.30333E-02, 0.10424E-02, 0.26972E-02, 0.25580E-01, 0.24139E-01, 0.25412E-01, 0.58636E-01,  0.0000    ,  0.0000    , 0.58636E-01, 0.35455E-01, 0.58636E-01  
   1,   1,   2, 0.73757E-02,  0.0000    , 0.76623E-02,  0.0000    ,  0.0000    , 0.91954E-03, 0.16068E-02,  0.0000    , 0.24368E-01, 0.18324E-01,-0.23827E-02, 0.17907E-01,  0.0000    , 0.21602E-02, 0.20455E-02, 0.70292E-03, 0.18188E-02, 0.17249E-01, 0.16277E-01, 0.17136E-01, 0.39540E-01,  0.0000    ,  0.0000    , 0.39540E-01, 0.23908E-01, 0.39540E-01  
   1,   1,   3, 0.62706E-02,  0.0000    , 0.65142E-02,  0.0000    ,  0.0000    , 0.78176E-03, 0.13661E-02,  0.0000    , 0.20717E-01, 0.15578E-01,-0.20257E-02, 0.15223E-01,  0.0000    , 0.18365E-02, 0.17390E-02, 0.59760E-03, 0.15463E-02, 0.14665E-01, 0.13838E-01, 0.14568E-01, 0.33616E-01,  0.0000    ,  0.0000    , 0.33616E-01, 0.20326E-01, 0.33616E-01  
   2,   1,   1, 0.12665E-01,  0.0000    , 0.13157E-01,  0.0000    ,  0.0000    , 0.15789E-02, 0.27591E-02,  0.0000    , 0.41842E-01, 0.31464E-01,-0.40913E-02, 0.30747E-01,  0.0000    , 0.37093E-02, 0.35123E-02, 0.12070E-02, 0.31231E-02, 0.29618E-01, 0.27950E-01, 0.29424E-01, 0.67895E-01,  0.0000    ,  0.0000    ,  0.0000    , 0.41053E-01, 0.67895E-01  
   2,   1,   2, 0.82268E-02,  0.0000    , 0.85464E-02,  0.0000    ,  0.0000    , 0.10256E-02, 0.17922E-02,  0.0000    , 0.27179E-01, 0.20438E-01,-0.26576E-02, 0.19973E-01,  0.0000    , 0.24094E-02, 0.22815E-02, 0.78403E-03, 0.20287E-02, 0.19239E-01, 0.18156E-01, 0.19113E-01, 0.44103E-01,  0.0000    ,  0.0000    ,  0.0000    , 0.26667E-01, 0.44103E-01  
   2,   1,   3, 0.67310E-02,  0.0000    , 0.69925E-02,  0.0000    ,  0.0000    , 0.83916E-03, 0.14664E-02,  0.0000    , 0.22238E-01, 0.16722E-01,-0.21744E-02, 0.16341E-01,  0.0000    , 0.19714E-02, 0.18667E-02, 0.64148E-03, 0.16598E-02, 0.15741E-01, 0.14855E-01, 0.15638E-01, 0.36084E-01,  0.0000    ,  0.0000    ,  0.0000    , 0.21818E-01, 0.36084E-01  
   3,   1,   1, 0.10462E-01,  0.0000    , 0.10869E-01,  0.0000    ,  0.0000    , 0.13043E-02, 0.22792E-02,  0.0000    , 0.34565E-01, 0.25992E-01,-0.33798E-02, 0.25400E-01,  0.0000    , 0.30642E-02, 0.29014E-02, 0.99708E-03, 0.25799E-02, 0.24467E-01, 0.23089E-01, 0.24307E-01, 0.56087E-01,  0.0000    ,  0.0000    ,  0.0000    , 0.33913E-01, 0.56087E-01  
   3,   1,   2, 0.73197E-02,  0.0000    , 0.76040E-02,  0.0000    ,  0.0000    , 0.91255E-03, 0.15946E-02,  0.0000    , 0.24183E-01, 0.18185E-01,-0.23646E-02, 0.17770E-01,  0.0000    , 0.21438E-02, 0.20299E-02, 0.69758E-03, 0.18050E-02, 0.17118E-01, 0.16154E-01, 0.17006E-01, 0.39240E-01,  0.0000    ,  0.0000    ,  0.0000    , 0.23726E-01, 0.39240E-01  
   3,   1,   3, 0.64817E-02,  0.0000    , 0.67335E-02,  0.0000    ,  0.0000    , 0.80808E-03, 0.14120E-02,  0.0000    , 0.21414E-01, 0.16103E-01,-0.20939E-02, 0.15736E-01,  0.0000    , 0.18983E-02, 0.17975E-02, 0.61772E-03, 0.15983E-02, 0.15158E-01, 0.14304E-01, 0.15059E-01, 0.34747E-01,  0.0000    ,  0.0000    ,  0.0000    , 0.21010E-01, 0.34747E-01  
   4,   1,   1, 0.15278E-01,  0.0000    , 0.15872E-01,  0.0000    ,  0.0000    , 0.19048E-02, 0.33284E-02,  0.0000    , 0.50476E-01, 0.37957E-01,-0.49356E-02, 0.37092E-01,  0.0000    , 0.44747E-02, 0.42370E-02, 0.14561E-02, 0.37675E-02, 0.35730E-01, 0.33718E-01, 0.35496E-01, 0.81905E-01,  0.0000    ,  0.0000    ,  0.0000    , 0.49524E-01, 0.81905E-01  
