Varies per block?       ,    1,Unit    ,k$     ,     2,     1,  2027
Varies per sequence?    ,    1
# of agents             ,   26
Stag,Seq.,Blck,Biometano  cluster interior SP (Paulinia),Rota 1  pre-sal Santos (UTGCA),Biometano  cluster Japeri (RJ),Rota 3  pre-sal (Boaventura),Rota 2  pre-sal (Cabiunas),BM-C-33 / Raia (Cabiunas),Producao capixaba (Cacimbas),Producao Bolivia (Rio Grande),Exportacao Argentina p/ Bolivia (Campo Duran),GNL firme DES  B. Guanabara,GNL firme DES  Acu,GNL firme DES  Santos,GNL spot  mercado internacional,Producao Bahia (Manati + Reconcavo),Producao onshore SE/AL (Carmopolis),SEAP  Sergipe Aguas Profundas,Producao RN (Guamare),GNL firme DES  Bahia,GNL firme DES  Pecem,GNL firme DES  Sergipe,GNL firme DES  Suape,Producao Urucu,Producao Parnaiba,GNL firme DES  Barcarena,Exportacao Argentina p/ TSB (Paso de los Libres),GNL firme DES  Babitonga (TGS)
   1,   1,   1,  0.0000    ,  87.769    ,  0.0000    ,  1287.1    ,  2615.5    ,  0.0000    ,  0.0000    ,  116.65    ,  0.0000    ,  0.0000    ,  18472.    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  4359.1    ,  6805.0    ,  0.0000    ,  0.0000    ,  0.0000      
   1,   1,   2,  0.0000    ,  130.16    ,  0.0000    ,  2473.3    ,  6375.2    ,  0.0000    ,  0.0000    ,  172.99    ,  0.0000    ,  0.0000    ,  28058.    ,  0.0000    ,  17714.    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  11055.    ,  15506.    ,  0.0000    ,  0.0000    ,  0.0000      
   1,   1,   3,  0.0000    ,  153.10    ,  0.0000    ,  8566.5    ,  10497.    ,  0.0000    ,  0.0000    ,  203.48    ,  0.0000    ,  0.0000    ,  33002.    ,  0.0000    ,  19543.    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  12680.    ,  17744.    ,  0.0000    ,  0.0000    ,  0.0000      
   2,   1,   1,  0.0000    ,  83.075    ,  0.0000    ,  2075.7    ,  2901.5    ,  0.0000    ,  0.0000    ,  111.54    ,  0.0000    ,  0.0000    ,  16340.    ,  0.0000    ,  5729.6    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  5305.9    ,  8039.8    ,  4222.9    ,  0.0000    ,  0.0000      
   2,   1,   2,  0.0000    ,  127.89    ,  0.0000    ,  3540.1    ,  5453.2    ,  0.0000    ,  0.0000    ,  171.71    ,  0.0000    ,  0.0000    ,  25155.    ,  0.0000    ,  16976.    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  10203.    ,  15325.    ,  8144.2    ,  0.0000    ,  0.0000      
   2,   1,   3,  0.0000    ,  156.31    ,  0.0000    ,  9374.2    ,  9791.2    ,  0.0000    ,  0.0000    ,  209.87    ,  0.0000    ,  0.0000    ,  30745.    ,  0.0000    ,  17754.    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  11732.    ,  17585.    ,  9350.9    ,  0.0000    ,  0.0000      
   3,   1,   1,  0.0000    ,  92.687    ,  0.0000    ,  2394.8    ,  2564.5    ,  0.0000    ,  0.0000    ,  123.19    ,  0.0000    ,  0.0000    ,  19780.    ,  0.0000    ,  2591.6    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  4547.9    ,  5974.2    ,  5903.0    ,  0.0000    ,  0.0000      
   3,   1,   2,  0.0000    ,  132.48    ,  0.0000    ,  4266.1    ,  4755.5    ,  0.0000    ,  0.0000    ,  176.07    ,  0.0000    ,  0.0000    ,  28272.    ,  0.0000    ,  13702.    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  8594.4    ,  11239.    ,  11244.    ,  0.0000    ,  0.0000      
   3,   1,   3,  0.0000    ,  149.61    ,  0.0000    ,  10200.    ,  8947.7    ,  0.0000    ,  0.0000    ,  198.84    ,  0.0000    ,  0.0000    ,  31928.    ,  0.0000    ,  15588.    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  9729.8    ,  12674.    ,  12729.    ,  0.0000    ,  0.0000      
   4,   1,   1,  0.0000    ,  65.586    ,  0.0000    ,  2307.0    ,  6892.8    ,  0.0000    ,  0.0000    ,  87.170    ,  0.0000    ,  0.0000    ,  13545.    ,  0.0000    ,  5776.6    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  4720.0    ,  6743.9    ,  6425.1    ,  0.0000    ,  0.0000      
   4,   1,   2,  0.0000    ,  137.42    ,  0.0000    ,  3774.7    ,  5269.5    ,  0.0000    ,  0.0000    ,  182.64    ,  0.0000    ,  0.0000    ,  28380.    ,  0.0000    ,  2300.1    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  7384.1    ,  10409.    ,  10039.    ,  0.0000    ,  0.0000      
   4,   1,   3,  0.0000    ,  171.77    ,  0.0000    ,  10164.    ,  6537.4    ,  0.0000    ,  0.0000    ,  228.30    ,  0.0000    ,  0.0000    ,  35475.    ,  0.0000    ,  2587.8    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  9156.9    ,  12948.    ,  12448.    ,  0.0000    ,  0.0000      
