Varies per block?       ,    1,Unit    ,kUE    ,     2,     1,  2027
Varies per sequence?    ,    1
# of agents             ,   26
Stag,Seq.,Blck,Biometano  cluster interior SP (Paulinia),Rota 1  pre-sal Santos (UTGCA),Biometano  cluster Japeri (RJ),Rota 3  pre-sal (Boaventura),Rota 2  pre-sal (Cabiunas),BM-C-33 / Raia (Cabiunas),Producao capixaba (Cacimbas),Producao Bolivia (Rio Grande),Exportacao Argentina p/ Bolivia (Campo Duran),GNL firme DES  B. Guanabara,GNL firme DES  Acu,GNL firme DES  Santos,GNL spot  mercado internacional,Producao Bahia (Manati + Reconcavo),Producao onshore SE/AL (Carmopolis),SEAP  Sergipe Aguas Profundas,Producao RN (Guamare),GNL firme DES  Bahia,GNL firme DES  Pecem,GNL firme DES  Sergipe,GNL firme DES  Suape,Producao Urucu,Producao Parnaiba,GNL firme DES  Barcarena,Exportacao Argentina p/ TSB (Paso de los Libres),GNL firme DES  Babitonga (TGS)
   1,   1,   1,  0.0000    , 0.36571    ,  0.0000    ,  5.4771    ,  10.898    ,  0.0000    ,  0.0000    , 0.40225    ,  0.0000    ,  0.0000    ,  42.957    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  21.796    ,  35.816    ,  0.0000    ,  0.0000    ,  0.0000      
   1,   1,   2,  0.0000    , 0.54233    ,  0.0000    ,  10.525    ,  26.563    ,  0.0000    ,  0.0000    , 0.59653    ,  0.0000    ,  0.0000    ,  65.250    ,  0.0000    ,  44.285    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  55.275    ,  81.612    ,  0.0000    ,  0.0000    ,  0.0000      
   1,   1,   3,  0.0000    , 0.63791    ,  0.0000    ,  36.453    ,  43.736    ,  0.0000    ,  0.0000    , 0.70165    ,  0.0000    ,  0.0000    ,  76.750    ,  0.0000    ,  48.856    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  63.398    ,  93.390    ,  0.0000    ,  0.0000    ,  0.0000      
   2,   1,   1,  0.0000    , 0.34615    ,  0.0000    ,  8.8328    ,  12.089    ,  0.0000    ,  0.0000    , 0.38463    ,  0.0000    ,  0.0000    ,  38.000    ,  0.0000    ,  14.324    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  26.530    ,  42.315    ,  9.8208    ,  0.0000    ,  0.0000      
   2,   1,   2,  0.0000    , 0.53288    ,  0.0000    ,  15.064    ,  22.721    ,  0.0000    ,  0.0000    , 0.59211    ,  0.0000    ,  0.0000    ,  58.500    ,  0.0000    ,  42.441    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  51.017    ,  80.660    ,  18.940    ,  0.0000    ,  0.0000      
   2,   1,   3,  0.0000    , 0.65130    ,  0.0000    ,  39.890    ,  40.797    ,  0.0000    ,  0.0000    , 0.72369    ,  0.0000    ,  0.0000    ,  71.500    ,  0.0000    ,  44.386    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  58.659    ,  92.551    ,  21.746    ,  0.0000    ,  0.0000      
   3,   1,   1,  0.0000    , 0.38620    ,  0.0000    ,  10.191    ,  10.685    ,  0.0000    ,  0.0000    , 0.42478    ,  0.0000    ,  0.0000    ,  46.000    ,  0.0000    ,  6.4789    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  22.740    ,  31.443    ,  13.728    ,  0.0000    ,  0.0000      
   3,   1,   2,  0.0000    , 0.55200    ,  0.0000    ,  18.154    ,  19.815    ,  0.0000    ,  0.0000    , 0.60716    ,  0.0000    ,  0.0000    ,  65.750    ,  0.0000    ,  34.255    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  42.972    ,  59.154    ,  26.148    ,  0.0000    ,  0.0000      
   3,   1,   3,  0.0000    , 0.62336    ,  0.0000    ,  43.403    ,  37.282    ,  0.0000    ,  0.0000    , 0.68565    ,  0.0000    ,  0.0000    ,  74.250    ,  0.0000    ,  38.970    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  48.649    ,  66.706    ,  29.603    ,  0.0000    ,  0.0000      
   4,   1,   1,  0.0000    , 0.27327    ,  0.0000    ,  9.8170    ,  28.720    ,  0.0000    ,  0.0000    , 0.30059    ,  0.0000    ,  0.0000    ,  31.500    ,  0.0000    ,  14.442    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  23.600    ,  35.494    ,  14.942    ,  0.0000    ,  0.0000      
