Varies per block?       ,    3,Unit    ,kUE    ,     2,     1,  2027
Varies per sequence?    ,    1
# of agents             ,    4
Stag,Seq.,Blck,Linepack GASBOL,Linepack corredor RJSP,Linepack GASENE,Linepack malha NE
   1,   1,   1,  7.2000    ,  1.5000    ,  2.4000    , 0.90000        
   2,   1,   1,  7.2000    ,  1.5000    ,  2.4000    , 0.90000        
   3,   1,   1,  7.2000    ,  1.5000    ,  2.4000    , 0.90000        
   4,   1,   1,  7.2000    ,  1.5000    ,  2.4000    , 0.90000        
   5,   1,   1,  7.2000    ,  1.5000    ,  2.4000    , 0.90000        
   6,   1,   1,  7.2000    ,  1.5000    ,  2.4000    , 0.90000        
   7,   1,   1,  7.2000    ,  1.5000    ,  2.4000    , 0.90000        
   8,   1,   1,  7.2000    ,  1.5000    ,  2.4000    , 0.90000        
   9,   1,   1,  7.2000    ,  1.5000    ,  2.4000    , 0.90000        
  10,   1,   1,  7.2000    ,  1.5000    ,  2.4000    , 0.90000        
  11,   1,   1,  7.2000    ,  1.5000    ,  2.4000    , 0.90000        
  12,   1,   1,  7.2000    ,  1.5000    ,  2.4000    , 0.90000        
