Varies per block?       ,    2,Unit    ,kUE/h  ,     2,     1,  2027
Varies per sequence?    ,    1
# of agents             ,    4
Stag,Seq.,Blck,Linepack GASBOL,Linepack corredor RJSP,Linepack GASENE,Linepack malha NE
   1,   1,   1,  0.0000    , 0.31674E-01, 0.90187E-02, 0.76048E-02    
   1,   1,   2,  0.0000    , 0.32835E-01, 0.32299E-01,-0.14121E-01    
   1,   1,   3,  0.0000    ,-0.46073E-01,-0.32629E-01, 0.76452E-02    
   2,   1,   1,  0.0000    , 0.33088E-01, 0.12614E-01, 0.83536E-02    
   2,   1,   2,  0.0000    , 0.33088E-01, 0.37920E-01,-0.15636E-01    
   2,   1,   3,  0.0000    ,-0.44657E-01,-0.37729E-01, 0.83537E-02    
   3,   1,   1,  0.0000    , 0.30611E-01, 0.18836E-01,  0.0000        
   3,   1,   2,  0.0000    , 0.30611E-01, 0.12562E-01, 0.75451E-02    
   3,   1,   3,  0.0000    ,-0.46071E-01,-0.22793E-01,-0.66814E-02    
   4,   1,   1,  0.0000    , 0.32201E-01,-0.10214    , 0.77967E-02    
   4,   1,   2,  0.0000    , 0.32201E-01, 0.33552E-01,-0.13467E-01    
   4,   1,   3,  0.0000    ,-0.38056E-01, 0.12157E-01, 0.77967E-02    
   5,   1,   1,  0.0000    , 0.32274E-01,  0.0000    , 0.75451E-02    
   5,   1,   2,  0.0000    , 0.32274E-01, 0.18012E-01,  0.0000        
   5,   1,   3,  0.0000    ,-0.36925E-01,-0.14897E-01,-0.23918E-02    
   6,   1,   1,  0.0000    ,-0.12000    , 0.17942E-01, 0.81063E-02    
   6,   1,   2,  0.0000    , 0.35400E-01,-0.22345E-01,-0.12866E-01    
   6,   1,   3,  0.0000    , 0.83470E-02, 0.12635E-01, 0.79639E-02    
   7,   1,   1,  0.0000    , 0.37004E-01, 0.16855E-01, 0.96841E-02    
   7,   1,   2,  0.0000    , 0.35538E-01, 0.12167E-01, 0.87755E-02    
   7,   1,   3,  0.0000    ,-0.38747E-01,-0.14493E-01,-0.97283E-02    
   8,   1,   1,  0.0000    , 0.38312E-01, 0.20145E-01, 0.98353E-02    
   8,   1,   2,  0.0000    , 0.35680E-01,-0.46118E-01, 0.86547E-02    
   8,   1,   3,  0.0000    ,-0.44226E-01, 0.33321E-01,-0.10913E-01    
   9,   1,   1,  0.0000    , 0.37241E-01, 0.13177E-01, 0.12101E-01    
   9,   1,   2,  0.0000    , 0.37076E-01, 0.13612E-01, 0.12283E-01    
   9,   1,   3,  0.0000    ,-0.49111E-01,-0.17806E-01,-0.16163E-01    
  10,   1,   1,  0.0000    , 0.33742E-01, 0.68698E-01,-0.46016E-01    
  10,   1,   2,  0.0000    , 0.34613E-01, 0.13992E-01, 0.11199E-01    
  10,   1,   3,  0.0000    ,-0.46220E-01,-0.44215E-01, 0.11447E-01    
  11,   1,   1,  0.0000    , 0.32468E-01, 0.52855E-01,-0.31789E-01    
  11,   1,   2,  0.0000    , 0.33243E-01, 0.16134E-01, 0.90895E-02    
  11,   1,   3,  0.0000    ,-0.43567E-01,-0.40292E-01, 0.90772E-02    
  12,   1,   1,  0.0000    , 0.28277E-01, 0.57250E-01,-0.36062E-01    
  12,   1,   2,  0.0000    , 0.29065E-01, 0.15543E-01, 0.97500E-02    
  12,   1,   3,  0.0000    ,-0.36679E-01,-0.40228E-01, 0.99823E-02    
