Varies per block?       ,    1,Unit    ,k$/UE/d,     2,     1,  2027
Varies per sequence?    ,    1
# of agents             ,   54
Stag,Seq.,Blck,GASBOL I (CorumbaC. Grande),GASBOL II (C. GrandeT. Lagoas),GASBOL III-a (T. Lagoaslinepack),GASBOL III-b (linepackPaulinia),GASBOL IV (PauliniaAraucaria),GASBOL VI (BiguacuCanoas),Lateral Cuiaba,Interconexao Paulinia (TBGNTS),GASDUC I+II+III,GASIG (ItaboraiGuapimirim/REDUC),Duto do terminal B. Guanabara,GASJAP (REDUCJaperi),GASVOL (REDUCV. Redonda),GASPAL I-a (Japerilinepack),GASPAL I-b (linepackGuararema),GASPAL II (GuararemaCapuava),GASAN (CapuavaRPBC),Duto TRSP (SantosCapuava),GASCAR (UTGCATaubate),GASTAU (TaubateGuararema),GASCAV (CabiunasVitoria),VitoriaCacimbas,GASCAC-a (Cacimbaslinepack),GASCAC-b (linepackCatu),CatuCamacari (spur),Duto do terminal Bahia,CatuCarmopolis/Atalaia,Duto do terminal Sergipe,Carmopolislinepack NE,Linepack NEPilar,PilarCabo (Suape),GASFOR (GuamareFortaleza),FortalezaPecem (spur),UrucuCoari,CoariManaus,TSB (Paso de los LibresUruguaiana),Gasinf (AcuItaborai),GASBOL trecho boliviano (Rio GrandeCorumba),Reversao ARGBOL (Campo DuranRio Grande),Rota maritima GNL  AtlanticoB. Guanabara,Rota maritima GNL  AtlanticoBahia,Rota maritima GNL  AtlanticoPecem,Rota maritima GNL  AtlanticoSergipe,Rota maritima GNL  AtlanticoAcu,Rota maritima GNL  AtlanticoSantos,Rota maritima GNL  AtlanticoBabitonga (TGS),Rota maritima GNL  AtlanticoBarcarena,Rota maritima GNL  AtlanticoSuape,GASBEL REDUC-ESMAN,ESMAN-REGAP,GASBOL V(AraucariaGavura),GASBOL V(GaruvaBiguacu),Nordestao (CaboSantaRita),Nordestao (SantaRitaGuamare)
   1,   1,   1, 0.28513E-03, 0.17683E-03, 0.16889E-03, 0.16906E-03, 0.27048E-03, 0.27181E-03, 0.35345E-03, 0.28344E-03, 0.16852E-03, 0.11398E-03, 0.54545E-04, 0.11409E-03, 0.14139E-03, 0.28287E-03, 0.28315E-03, 0.22886E-03, 0.10095E-03, 0.10085E-03, 0.12831E-03, 0.10074E-03, 0.45864E-03, 0.22966E-03, 0.54192E-03, 0.54301E-03, 0.54545E-04, 0.54545E-04, 0.34013E-03, 0.54545E-04, 0.23132E-03, 0.23155E-03, 0.31364E-03, 0.57615E-03, 0.13636E-03, 0.16380E-03, 0.21895E-03, 0.10909E-03, 0.15477E-03, 0.46093E-03, 0.52773E-03, 0.75629E-02, 0.71570E-02, 0.62054E-02, 0.68846E-02, 0.76173E-02, 0.80053E-02, 0.81818E-02, 0.65455E-02, 0.64091E-02, 0.26940E-03, 0.26994E-03, 0.19680E-03, 0.19700E-03, 0.62823E-03, 0.62949E-03  
   1,   1,   2, 0.19227E-03, 0.11924E-03, 0.11389E-03, 0.11400E-03, 0.18239E-03, 0.18329E-03, 0.23834E-03, 0.19113E-03, 0.11364E-03, 0.76858E-04, 0.36782E-04, 0.76935E-04, 0.95345E-04, 0.19075E-03, 0.19094E-03, 0.15433E-03, 0.68076E-04, 0.68008E-04, 0.86523E-04, 0.67931E-04, 0.30928E-03, 0.15487E-03, 0.36543E-03, 0.36617E-03, 0.36782E-04, 0.36782E-04, 0.22936E-03, 0.36782E-04, 0.15599E-03, 0.15614E-03, 0.21150E-03, 0.38852E-03, 0.91954E-04, 0.11046E-03, 0.14764E-03, 0.73563E-04, 0.10437E-03, 0.31082E-03, 0.35586E-03, 0.50999E-02, 0.48262E-02, 0.41845E-02, 0.46425E-02, 0.51413E-02, 0.53982E-02, 0.55172E-02, 0.44138E-02, 0.43218E-02, 0.18167E-03, 0.18203E-03, 0.13271E-03, 0.13284E-03, 0.42363E-03, 0.42448E-03  
   1,   1,   3, 0.16346E-03, 0.10138E-03, 0.96825E-04, 0.96922E-04, 0.15507E-03, 0.15583E-03, 0.20263E-03, 0.16249E-03, 0.96613E-04, 0.65342E-04, 0.31270E-04, 0.65408E-04, 0.81058E-04, 0.16217E-03, 0.16233E-03, 0.13121E-03, 0.57876E-04, 0.57818E-04, 0.73559E-04, 0.57752E-04, 0.26293E-03, 0.13166E-03, 0.31068E-03, 0.31130E-03, 0.31270E-04, 0.31270E-04, 0.19499E-03, 0.31270E-04, 0.13261E-03, 0.13275E-03, 0.17981E-03, 0.33030E-03, 0.78176E-04, 0.93905E-04, 0.12552E-03, 0.62541E-04, 0.88730E-04, 0.26425E-03, 0.30254E-03, 0.43357E-02, 0.41030E-02, 0.35575E-02, 0.39469E-02, 0.43710E-02, 0.45894E-02, 0.46906E-02, 0.37524E-02, 0.36743E-02, 0.15445E-03, 0.15476E-03, 0.11282E-03, 0.11294E-03, 0.36016E-03, 0.36088E-03  
   2,   1,   1, 0.33015E-03, 0.20475E-03, 0.20496E-03, 0.19576E-03, 0.31319E-03, 0.31473E-03, 0.40925E-03, 0.32819E-03, 0.19513E-03, 0.13197E-03, 0.63158E-04, 0.13211E-03, 0.16372E-03, 0.32753E-03, 0.32786E-03, 0.26500E-03, 0.11689E-03, 0.11678E-03, 0.14857E-03, 0.11664E-03, 0.53106E-03, 0.26593E-03, 0.62749E-03, 0.62874E-03, 0.63158E-04, 0.63158E-04, 0.39383E-03, 0.63158E-04, 0.26785E-03, 0.26811E-03, 0.36317E-03, 0.66712E-03, 0.15789E-03, 0.18966E-03, 0.25352E-03, 0.12632E-03, 0.17921E-03, 0.53371E-03, 0.61105E-03, 0.87571E-02, 0.82871E-02, 0.71852E-02, 0.79717E-02, 0.88282E-02, 0.92693E-02, 0.94737E-02, 0.77147E-02, 0.74211E-02, 0.31194E-03, 0.31257E-03, 0.22788E-03, 0.22810E-03, 0.72743E-03, 0.72888E-03  
   2,   1,   2, 0.21446E-03, 0.13300E-03, 0.13313E-03, 0.12716E-03, 0.20344E-03, 0.20444E-03, 0.26584E-03, 0.21318E-03, 0.12675E-03, 0.85727E-04, 0.41026E-04, 0.85813E-04, 0.10635E-03, 0.21276E-03, 0.21297E-03, 0.17214E-03, 0.75931E-04, 0.75855E-04, 0.96507E-04, 0.75769E-04, 0.34496E-03, 0.17274E-03, 0.40760E-03, 0.40841E-03, 0.41026E-04, 0.41026E-04, 0.25582E-03, 0.41026E-04, 0.17399E-03, 0.17416E-03, 0.23590E-03, 0.43334E-03, 0.10256E-03, 0.12320E-03, 0.16468E-03, 0.82051E-04, 0.11641E-03, 0.34668E-03, 0.39692E-03, 0.56884E-02, 0.53831E-02, 0.46673E-02, 0.51782E-02, 0.57345E-02, 0.60211E-02, 0.61538E-02, 0.50113E-02, 0.48205E-02, 0.20263E-03, 0.20303E-03, 0.14802E-03, 0.14817E-03, 0.47252E-03, 0.47346E-03  
   2,   1,   3, 0.17546E-03, 0.10882E-03, 0.10893E-03, 0.10404E-03, 0.16645E-03, 0.16727E-03, 0.21751E-03, 0.17442E-03, 0.10371E-03, 0.70140E-04, 0.33566E-04, 0.70210E-04, 0.87010E-04, 0.17407E-03, 0.17425E-03, 0.14084E-03, 0.62126E-04, 0.62063E-04, 0.78960E-04, 0.61993E-04, 0.28224E-03, 0.14133E-03, 0.33349E-03, 0.33416E-03, 0.33566E-04, 0.33566E-04, 0.20931E-03, 0.33566E-04, 0.14235E-03, 0.14249E-03, 0.19301E-03, 0.35455E-03, 0.83916E-04, 0.10080E-03, 0.13474E-03, 0.67133E-04, 0.95245E-04, 0.28365E-03, 0.32476E-03, 0.46541E-02, 0.44043E-02, 0.38187E-02, 0.42367E-02, 0.46919E-02, 0.49264E-02, 0.50350E-02, 0.41001E-02, 0.39441E-02, 0.16579E-03, 0.16612E-03, 0.12111E-03, 0.12123E-03, 0.38660E-03, 0.38738E-03  
   3,   1,   1, 0.27273E-03, 0.16914E-03, 0.16931E-03, 0.16171E-03, 0.25872E-03, 0.26000E-03, 0.33808E-03, 0.27111E-03, 0.16120E-03, 0.10902E-03, 0.52174E-04, 0.10913E-03, 0.13524E-03, 0.27057E-03, 0.27084E-03, 0.21891E-03, 0.96565E-04, 0.96468E-04, 0.12273E-03, 0.96359E-04, 0.43870E-03, 0.21968E-03, 0.51836E-03, 0.51940E-03, 0.52174E-04, 0.52174E-04, 0.32534E-03, 0.52174E-04, 0.22126E-03, 0.22149E-03, 0.30001E-03, 0.55110E-03, 0.13043E-03, 0.15668E-03, 0.20943E-03, 0.10435E-03, 0.14804E-03, 0.44089E-03, 0.50478E-03, 0.72341E-02, 0.68458E-02, 0.59356E-02, 0.65853E-02, 0.72928E-02, 0.76573E-02, 0.78261E-02, 0.63730E-02, 0.61304E-02, 0.25769E-03, 0.25821E-03, 0.18825E-03, 0.18843E-03, 0.60092E-03, 0.60212E-03  
   3,   1,   2, 0.19081E-03, 0.11834E-03, 0.11845E-03, 0.11314E-03, 0.18101E-03, 0.18190E-03, 0.23653E-03, 0.18968E-03, 0.11278E-03, 0.76274E-04, 0.36502E-04, 0.76350E-04, 0.94620E-04, 0.18930E-03, 0.18949E-03, 0.15316E-03, 0.67559E-04, 0.67491E-04, 0.85865E-04, 0.67414E-04, 0.30692E-03, 0.15369E-03, 0.36265E-03, 0.36338E-03, 0.36502E-04, 0.36502E-04, 0.22761E-03, 0.36502E-04, 0.15480E-03, 0.15496E-03, 0.20989E-03, 0.38556E-03, 0.91255E-04, 0.10962E-03, 0.14652E-03, 0.73004E-04, 0.10357E-03, 0.30845E-03, 0.35316E-03, 0.50611E-02, 0.47895E-02, 0.41526E-02, 0.46072E-02, 0.51022E-02, 0.53572E-02, 0.54753E-02, 0.44587E-02, 0.42890E-02, 0.18028E-03, 0.18065E-03, 0.13170E-03, 0.13183E-03, 0.42041E-03, 0.42126E-03  
   3,   1,   3, 0.16897E-03, 0.10479E-03, 0.10489E-03, 0.10018E-03, 0.16029E-03, 0.16108E-03, 0.20945E-03, 0.16796E-03, 0.99866E-04, 0.67542E-04, 0.32323E-04, 0.67610E-04, 0.83788E-04, 0.16763E-03, 0.16779E-03, 0.13562E-03, 0.59825E-04, 0.59765E-04, 0.76036E-04, 0.59697E-04, 0.27179E-03, 0.13610E-03, 0.32114E-03, 0.32178E-03, 0.32323E-04, 0.32323E-04, 0.20156E-03, 0.32323E-04, 0.13708E-03, 0.13722E-03, 0.18586E-03, 0.34142E-03, 0.80808E-04, 0.97067E-04, 0.12975E-03, 0.64646E-04, 0.91717E-04, 0.27314E-03, 0.31273E-03, 0.44817E-02, 0.42412E-02, 0.36772E-02, 0.40798E-02, 0.45181E-02, 0.47439E-02, 0.48485E-02, 0.39483E-02, 0.37980E-02, 0.15965E-03, 0.15997E-03, 0.11662E-03, 0.11674E-03, 0.37229E-03, 0.37303E-03  
   4,   1,   1, 0.39827E-03, 0.24700E-03, 0.23591E-03, 0.23615E-03, 0.37782E-03, 0.37968E-03, 0.49370E-03, 0.39591E-03, 0.23540E-03, 0.15921E-03, 0.76190E-04, 0.15937E-03, 0.19750E-03, 0.39512E-03, 0.39552E-03, 0.31968E-03, 0.14102E-03, 0.14087E-03, 0.17923E-03, 0.14071E-03, 0.64064E-03, 0.32080E-03, 0.75697E-03, 0.75848E-03, 0.76190E-04, 0.76190E-04, 0.47510E-03, 0.76190E-04, 0.32312E-03, 0.32344E-03, 0.43811E-03, 0.80478E-03, 0.19048E-03, 0.22880E-03, 0.30583E-03, 0.15238E-03, 0.21619E-03, 0.64384E-03, 0.73714E-03, 0.10564E-01, 0.99971E-02, 0.86678E-02, 0.96166E-02, 0.10650E-01, 0.11182E-01, 0.11429E-01, 0.93067E-02, 0.89524E-02, 0.37631E-03, 0.37706E-03, 0.27490E-03, 0.27517E-03, 0.87753E-03, 0.87929E-03  
   4,   1,   2, 0.19009E-03, 0.11789E-03, 0.11260E-03, 0.11271E-03, 0.18032E-03, 0.18121E-03, 0.23563E-03, 0.18896E-03, 0.11235E-03, 0.75985E-04, 0.36364E-04, 0.76061E-04, 0.94261E-04, 0.18858E-03, 0.18877E-03, 0.15258E-03, 0.67303E-04, 0.67235E-04, 0.85540E-04, 0.67159E-04, 0.30576E-03, 0.15311E-03, 0.36128E-03, 0.36200E-03, 0.36364E-04, 0.36364E-04, 0.22675E-03, 0.36364E-04, 0.15421E-03, 0.15437E-03, 0.20910E-03, 0.38410E-03, 0.90909E-04, 0.10920E-03, 0.14596E-03, 0.72727E-04, 0.10318E-03, 0.30729E-03, 0.35182E-03, 0.50420E-02, 0.47713E-02, 0.41369E-02, 0.45898E-02, 0.50829E-02, 0.53369E-02, 0.54545E-02, 0.44418E-02, 0.42727E-02, 0.17960E-03, 0.17996E-03, 0.13120E-03, 0.13133E-03, 0.41882E-03, 0.41966E-03  
   4,   1,   3, 0.15207E-03, 0.94310E-04, 0.90076E-04, 0.90166E-04, 0.14426E-03, 0.14497E-03, 0.18851E-03, 0.15117E-03, 0.89879E-04, 0.60788E-04, 0.29091E-04, 0.60849E-04, 0.75409E-04, 0.15086E-03, 0.15102E-03, 0.12206E-03, 0.53842E-04, 0.53788E-04, 0.68432E-04, 0.53727E-04, 0.24461E-03, 0.12249E-03, 0.28902E-03, 0.28960E-03, 0.29091E-04, 0.29091E-04, 0.18140E-03, 0.29091E-04, 0.12337E-03, 0.12350E-03, 0.16728E-03, 0.30728E-03, 0.72727E-04, 0.87360E-04, 0.11677E-03, 0.58182E-04, 0.82545E-04, 0.24583E-03, 0.28145E-03, 0.40336E-02, 0.38171E-02, 0.33095E-02, 0.36718E-02, 0.40663E-02, 0.42695E-02, 0.43636E-02, 0.35535E-02, 0.34182E-02, 0.14368E-03, 0.14397E-03, 0.10496E-03, 0.10507E-03, 0.33506E-03, 0.33573E-03  
   5,   1,   1, 0.45621E-03, 0.28293E-03, 0.27023E-03, 0.27050E-03, 0.43277E-03, 0.43490E-03, 0.56552E-03, 0.45350E-03, 0.26964E-03, 0.18236E-03, 0.87273E-04, 0.18255E-03, 0.22623E-03, 0.45259E-03, 0.45305E-03, 0.36618E-03, 0.16153E-03, 0.16136E-03, 0.20530E-03, 0.16118E-03, 0.73383E-03, 0.36746E-03, 0.86707E-03, 0.86881E-03, 0.87273E-04, 0.87273E-04, 0.54420E-03, 0.87273E-04, 0.37011E-03, 0.37049E-03, 0.50183E-03, 0.92184E-03, 0.21818E-03, 0.26208E-03, 0.35032E-03, 0.17455E-03, 0.24764E-03, 0.73749E-03, 0.84436E-03, 0.12101E-01, 0.11451E-01, 0.99286E-02, 0.11015E-01, 0.12188E-01, 0.12809E-01, 0.13091E-01, 0.10669E-01, 0.10255E-01, 0.43104E-03, 0.43191E-03, 0.31488E-03, 0.31520E-03, 0.10052E-02, 0.10072E-02  
   5,   1,   2, 0.17485E-03, 0.10844E-03, 0.10357E-03, 0.10368E-03, 0.16587E-03, 0.16669E-03, 0.21675E-03, 0.17382E-03, 0.10335E-03, 0.69896E-04, 0.33449E-04, 0.69966E-04, 0.86707E-04, 0.17347E-03, 0.17364E-03, 0.14035E-03, 0.61909E-04, 0.61847E-04, 0.78685E-04, 0.61777E-04, 0.28126E-03, 0.14084E-03, 0.33233E-03, 0.33299E-03, 0.33449E-04, 0.33449E-04, 0.20858E-03, 0.33449E-04, 0.14186E-03, 0.14200E-03, 0.19234E-03, 0.35332E-03, 0.83624E-04, 0.10045E-03, 0.13427E-03, 0.66899E-04, 0.94913E-04, 0.28266E-03, 0.32362E-03, 0.46379E-02, 0.43890E-02, 0.38054E-02, 0.42219E-02, 0.46712E-02, 0.49092E-02, 0.50174E-02, 0.40859E-02, 0.39303E-02, 0.16521E-03, 0.16554E-03, 0.12069E-03, 0.12081E-03, 0.38526E-03, 0.38603E-03  
   5,   1,   3, 0.14462E-03, 0.89690E-04, 0.85663E-04, 0.85749E-04, 0.13719E-03, 0.13787E-03, 0.17927E-03, 0.14376E-03, 0.85476E-04, 0.57810E-04, 0.27666E-04, 0.57868E-04, 0.71715E-04, 0.14347E-03, 0.14362E-03, 0.11608E-03, 0.51204E-04, 0.51153E-04, 0.65079E-04, 0.51095E-04, 0.23262E-03, 0.11649E-03, 0.27486E-03, 0.27542E-03, 0.27666E-04, 0.27666E-04, 0.17251E-03, 0.27666E-04, 0.11733E-03, 0.11744E-03, 0.15908E-03, 0.29223E-03, 0.69164E-04, 0.83080E-04, 0.11105E-03, 0.55331E-04, 0.78501E-04, 0.23378E-03, 0.26767E-03, 0.38360E-02, 0.36301E-02, 0.31474E-02, 0.34919E-02, 0.38635E-02, 0.40603E-02, 0.41499E-02, 0.33794E-02, 0.32507E-02, 0.13664E-03, 0.13692E-03, 0.99819E-04, 0.99919E-04, 0.31864E-03, 0.31928E-03  
