Varies per block?       ,    1,Unit    ,k$     ,     2,     1,  2027
Varies per sequence?    ,    1
# of agents             ,   54
Stag,Seq.,Blck,GASBOL I (CorumbaC. Grande),GASBOL II (C. GrandeT. Lagoas),GASBOL III-a (T. Lagoaslinepack),GASBOL III-b (linepackPaulinia),GASBOL IV (PauliniaAraucaria),GASBOL VI (BiguacuCanoas),Lateral Cuiaba,Interconexao Paulinia (TBGNTS),GASDUC I+II+III,GASIG (ItaboraiGuapimirim/REDUC),Duto do terminal B. Guanabara,GASJAP (REDUCJaperi),GASVOL (REDUCV. Redonda),GASPAL I-a (Japerilinepack),GASPAL I-b (linepackGuararema),GASPAL II (GuararemaCapuava),GASAN (CapuavaRPBC),Duto TRSP (SantosCapuava),GASCAR (UTGCATaubate),GASTAU (TaubateGuararema),GASCAV (CabiunasVitoria),VitoriaCacimbas,GASCAC-a (Cacimbaslinepack),GASCAC-b (linepackCatu),CatuCamacari (spur),Duto do terminal Bahia,CatuCarmopolis/Atalaia,Duto do terminal Sergipe,Carmopolislinepack NE,Linepack NEPilar,PilarCabo (Suape),GASFOR (GuamareFortaleza),FortalezaPecem (spur),UrucuCoari,CoariManaus,TSB (Paso de los LibresUruguaiana),Gasinf (AcuItaborai),GASBOL trecho boliviano (Rio GrandeCorumba),Reversao ARGBOL (Campo DuranRio Grande),Rota maritima GNL  AtlanticoB. Guanabara,Rota maritima GNL  AtlanticoBahia,Rota maritima GNL  AtlanticoPecem,Rota maritima GNL  AtlanticoSergipe,Rota maritima GNL  AtlanticoAcu,Rota maritima GNL  AtlanticoSantos,Rota maritima GNL  AtlanticoBabitonga (TGS),Rota maritima GNL  AtlanticoBarcarena,Rota maritima GNL  AtlanticoSuape,GASBEL REDUC-ESMAN,ESMAN-REGAP,GASBOL V(AraucariaGavura),GASBOL V(GaruvaBiguacu),Nordestao (CaboSantaRita),Nordestao (SantaRitaGuamare)
   1,   1,   1, 0.54799    , 0.19410    ,  0.0000    ,  0.0000    ,  2.4618    , 0.92926    , 0.71443E-01,  1.7025    ,  0.0000    ,  3.2097    ,  0.0000    ,  1.9601    , 0.17469    ,  0.0000    ,  4.4596    ,  2.0645    , 0.18198    ,  0.0000    , 0.25599    ,  0.0000    , 0.46995    , 0.28841E-01,  0.0000    ,  2.3809    , 0.51720    ,  0.0000    , 0.14420    ,  0.0000    ,  0.0000    , 0.80307    ,  1.1170    , 0.49000    ,  0.0000    ,  21.796    ,  26.129    ,  0.0000    ,  0.0000    ,  1.0056    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.7697    ,  1.7661    ,  1.2337    ,  1.2325    , 0.90062    , 0.89881      
   1,   1,   2, 0.81264    , 0.28785    ,  0.0000    ,  0.0000    ,  3.6507    ,  1.3781    , 0.10595    ,  2.5247    ,  0.0000    ,  6.2012    ,  0.0000    ,  4.3164    , 0.25907    ,  0.0000    ,  6.8560    ,  3.2433    , 0.26986    ,  0.0000    , 0.37963    ,  0.0000    , 0.69692    , 0.42769E-01,  0.0000    ,  12.645    , 0.91538    ,  0.0000    ,  5.9068    ,  0.0000    ,  3.4123    ,  1.1976    ,  1.6664    , 0.74443    ,  0.0000    ,  55.275    ,  66.263    ,  0.0000    ,  0.0000    ,  1.4913    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  2435.7    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  2.7000    ,  2.6946    ,  1.8296    ,  1.8278    ,  1.3556    ,  1.3529      
   1,   1,   3, 0.95586    , 0.33858    ,  0.0000    ,  0.0000    ,  4.2942    ,  1.6209    , 0.12461    ,  2.9697    ,  0.0000    ,  21.738    ,  0.0000    ,  19.509    , 0.30473    ,  19.382    ,  8.0471    ,  3.8021    , 0.31743    ,  0.0000    , 0.44654    ,  0.0000    ,  16.728    ,  7.9886    ,  19.826    ,  4.7605    ,  1.0638    ,  0.0000    , 0.25154    ,  0.0000    ,  0.0000    ,  1.4082    ,  1.9595    , 0.87437    ,  0.0000    ,  63.398    ,  76.002    ,  0.0000    ,  0.0000    ,  1.7541    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  2687.1    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  3.1705    ,  3.1641    ,  2.1520    ,  2.1499    ,  1.5931    ,  1.5900      
   2,   1,   1, 0.52397    , 0.18560    ,  0.0000    ,  0.0000    ,  2.3638    , 0.89842    , 0.68317E-01,  1.6294    ,  0.0000    ,  5.2265    ,  0.0000    ,  4.0632    , 0.16704    ,  0.0000    ,  4.0235    ,  1.7925    , 0.17224    ,  0.0000    , 0.24230    ,  0.0000    , 0.44936    , 0.27580E-01,  0.0000    ,  2.8760    , 0.65406    ,  0.0000    , 0.13789    ,  0.0000    ,  0.0000    , 0.76185    ,  1.0590    , 0.45257    ,  0.0000    ,  26.530    ,  31.804    ,  0.0000    ,  0.0000    , 0.96157    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  787.82    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.6080    ,  1.6047    ,  1.1876    ,  1.1864    , 0.84312    , 0.84143      
   2,   1,   2, 0.80663    , 0.28572    ,  0.0000    ,  0.0000    ,  3.6390    ,  1.3831    , 0.10517    ,  2.5084    ,  0.0000    ,  8.9260    ,  0.0000    ,  7.1342    , 0.25715    ,  0.0000    ,  6.1940    ,  2.7595    , 0.26515    ,  0.0000    , 0.37302    ,  0.0000    , 0.69177    , 0.42456E-01,  0.0000    ,  13.310    ,  1.1209    ,  0.0000    ,  5.8371    ,  0.0000    ,  3.3716    ,  1.1728    ,  1.6303    , 0.69671    ,  0.0000    ,  51.017    ,  61.159    ,  0.0000    ,  0.0000    ,  1.4803    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  2334.2    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  2.4754    ,  2.4705    ,  1.8283    ,  1.8264    ,  1.2979    ,  1.2953      
   2,   1,   3, 0.98588    , 0.34921    ,  0.0000    ,  0.0000    ,  4.4477    ,  1.6905    , 0.12854    ,  3.0659    ,  0.0000    ,  23.796    ,  0.0000    ,  21.594    , 0.31430    ,  17.806    ,  7.5705    ,  3.3728    , 0.32407    ,  0.0000    , 0.45591    ,  0.0000    ,  18.478    ,  8.8507    ,  21.975    ,  5.7451    ,  1.3195    ,  0.0000    , 0.25945    ,  0.0000    ,  0.0000    ,  1.4335    ,  1.9926    , 0.85153    ,  0.0000    ,  58.659    ,  70.320    ,  0.0000    ,  0.0000    ,  1.8092    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  2441.2    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  3.0254    ,  3.0194    ,  2.2345    ,  2.2323    ,  1.5864    ,  1.5832      
   3,   1,   1, 0.57868    , 0.20497    ,  0.0000    ,  0.0000    ,  2.6691    ,  1.0146    , 0.75431E-01,  1.8349    ,  0.0000    ,  6.0335    ,  0.0000    ,  4.7485    , 0.18448    ,  0.0000    ,  4.5059    ,  1.9999    , 0.19217    ,  0.0000    , 0.27034    ,  0.0000    ,  1.0470    , 0.30746    ,  0.0000    ,  5.1988    , 0.70540    ,  0.0000    ,  1.5419    ,  0.0000    , 0.83383    , 0.83299    ,  1.1579    , 0.49483    ,  0.0000    ,  22.740    ,  27.260    ,  0.0000    ,  0.0000    ,  1.0619    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  356.34    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.7759    ,  1.7723    ,  1.3411    ,  1.3397    , 0.92184    , 0.92000      
   3,   1,   2, 0.82714    , 0.29298    ,  0.0000    ,  0.0000    ,  3.8152    ,  1.4503    , 0.10782    ,  2.6228    ,  0.0000    ,  10.777    ,  0.0000    ,  8.9376    , 0.26369    ,  0.0000    ,  6.4406    ,  2.8585    , 0.27467    ,  0.0000    , 0.38640    ,  0.0000    ,  1.7216    , 0.55175    ,  0.0000    ,  4.9557    ,  1.1449    ,  0.0000    , 0.21550    ,  0.0000    ,  0.0000    ,  1.1906    ,  1.6550    , 0.70727    ,  0.0000    ,  42.972    ,  51.515    ,  0.0000    ,  0.0000    ,  1.5179    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1884.0    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  2.5383    ,  2.5332    ,  1.9169    ,  1.9149    ,  1.3176    ,  1.3150      
   3,   1,   3, 0.93407    , 0.33086    ,  0.0000    ,  0.0000    ,  4.3084    ,  1.6378    , 0.12176    ,  2.9618    ,  0.0000    ,  25.911    ,  0.0000    ,  23.821    , 0.29778    ,  18.238    ,  7.2731    ,  3.2280    , 0.31019    ,  0.0000    , 0.43635    ,  0.0000    ,  19.733    ,  9.4996    ,  22.166    ,  11.967    ,  1.2947    ,  0.0000    ,  4.4771    ,  0.0000    ,  2.5377    ,  1.3446    ,  1.8689    , 0.79870    ,  0.0000    ,  48.649    ,  58.321    ,  0.0000    ,  0.0000    ,  1.7141    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  2143.4    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  2.8665    ,  2.8607    ,  2.1647    ,  2.1625    ,  1.4880    ,  1.4850      
   4,   1,   1, 0.40949    , 0.14505    ,  0.0000    ,  0.0000    ,  1.9962    , 0.76383    , 0.53387E-01,  1.3558    ,  0.0000    ,  5.8330    ,  0.0000    ,  4.9221    , 0.13054    ,  0.0000    ,  3.2459    ,  1.4151    , 0.13598    ,  0.0000    , 0.19129    ,  0.0000    ,  19.395    ,  9.5258    ,  22.034    ,  2.6861    , 0.62872    ,  0.0000    , 0.10669    ,  0.0000    ,  0.0000    , 0.58943    , 0.81931    , 0.35014    ,  0.0000    ,  23.600    ,  28.292    ,  0.0000    ,  0.0000    , 0.75147    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  794.28    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.2566    ,  1.2541    ,  1.0054    ,  1.0043    , 0.65229    , 0.65099      
   4,   1,   2, 0.85797    , 0.30390    ,  0.0000    ,  0.0000    ,  4.1825    ,  1.6004    , 0.11184    ,  2.8407    ,  0.0000    ,  9.5176    ,  0.0000    ,  7.6117    , 0.27351    ,  0.0000    ,  6.8009    ,  2.9651    , 0.28491    ,  0.0000    , 0.40080    ,  0.0000    ,  2.8287    ,  1.0928    ,  0.0000    ,  13.286    ,  1.1055    ,  0.0000    ,  5.8484    ,  0.0000    ,  3.3715    ,  1.2350    ,  1.7166    , 0.73363    ,  0.0000    ,  36.920    ,  44.260    ,  0.0000    ,  0.0000    ,  1.5745    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  316.26    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  2.6330    ,  2.6277    ,  2.1064    ,  2.1043    ,  1.3667    ,  1.3640      
   4,   1,   3,  1.0725    , 0.37988    ,  0.0000    ,  0.0000    ,  5.2282    ,  2.0005    , 0.13980    ,  3.5509    ,  0.0000    ,  25.800    ,  0.0000    ,  23.404    , 0.34189    ,  18.567    ,  8.5012    ,  3.7063    , 0.35614    ,  0.0000    , 0.50100    ,  0.0000    ,  3.5149    ,  1.3555    ,  0.0000    ,  6.0175    ,  1.3758    ,  0.0000    , 0.27941    ,  0.0000    ,  0.0000    ,  1.5437    ,  2.1458    , 0.91703    ,  0.0000    ,  45.784    ,  54.886    ,  0.0000    ,  0.0000    ,  1.9681    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  355.82    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  3.2911    ,  3.2845    ,  2.6331    ,  2.6304    ,  1.7084    ,  1.7050      
   5,   1,   1, 0.34942    , 0.12377    ,  0.0000    ,  0.0000    ,  1.8007    , 0.69694    , 0.45571E-01,  1.2113    ,  0.0000    ,  5.3221    ,  0.0000    ,  4.5445    , 0.11139    ,  0.0000    ,  2.8401    ,  1.2195    , 0.11718    ,  0.0000    , 0.16485    ,  0.0000    ,  3.3249    ,  1.5306    ,  2.1583    ,  2.1539    , 0.50046    ,  0.0000    , 0.90130E-01,  0.0000    ,  0.0000    , 0.49798    , 0.69219    , 0.29582    ,  0.0000    ,  23.296    ,  27.927    ,  0.0000    ,  0.0000    , 0.64126    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  57.337    ,  0.0000    ,  1.0723    ,  1.0701    , 0.91068    , 0.90976    , 0.55109    , 0.54999      
   5,   1,   2, 0.91167    , 0.32292    ,  0.0000    ,  0.0000    ,  4.6981    ,  1.8184    , 0.11890    ,  3.1604    ,  0.0000    ,  9.2952    ,  0.0000    ,  7.2709    , 0.29063    ,  0.0000    ,  7.4101    ,  3.1818    , 0.30573    ,  0.0000    , 0.43010    ,  0.0000    ,  2.8003    ,  1.0620    ,  0.0000    ,  7.7541    ,  1.0058    ,  0.0000    ,  2.4049    ,  0.0000    ,  1.3006    ,  1.2993    ,  1.8060    , 0.77182    ,  0.0000    ,  37.503    ,  44.958    ,  0.0000    ,  0.0000    ,  1.6731    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  2.7976    ,  2.7920    ,  2.3760    ,  2.3737    ,  1.4379    ,  1.4350      
