Varies per block?       ,    2,Unit    ,UE     ,     2,     1,  2027
Varies per sequence?    ,    1
# of agents             ,   54
Stag,Seq.,Blck,GASBOL I (CorumbaC. Grande),GASBOL II (C. GrandeT. Lagoas),GASBOL III-a (T. Lagoaslinepack),GASBOL III-b (linepackPaulinia),GASBOL IV (PauliniaAraucaria),GASBOL VI (BiguacuCanoas),Lateral Cuiaba,Interconexao Paulinia (TBGNTS),GASDUC I+II+III,GASIG (ItaboraiGuapimirim/REDUC),Duto do terminal B. Guanabara,GASJAP (REDUCJaperi),GASVOL (REDUCV. Redonda),GASPAL I-a (Japerilinepack),GASPAL I-b (linepackGuararema),GASPAL II (GuararemaCapuava),GASAN (CapuavaRPBC),Duto TRSP (SantosCapuava),GASCAR (UTGCATaubate),GASTAU (TaubateGuararema),GASCAV (CabiunasVitoria),VitoriaCacimbas,GASCAC-a (Cacimbaslinepack),GASCAC-b (linepackCatu),CatuCamacari (spur),Duto do terminal Bahia,CatuCarmopolis/Atalaia,Duto do terminal Sergipe,Carmopolislinepack NE,Linepack NEPilar,PilarCabo (Suape),GASFOR (GuamareFortaleza),FortalezaPecem (spur),UrucuCoari,CoariManaus,TSB (Paso de los LibresUruguaiana),Gasinf (AcuItaborai),GASBOL trecho boliviano (Rio GrandeCorumba),Reversao ARGBOL (Campo DuranRio Grande),Rota maritima GNL  AtlanticoB. Guanabara,Rota maritima GNL  AtlanticoBahia,Rota maritima GNL  AtlanticoPecem,Rota maritima GNL  AtlanticoSergipe,Rota maritima GNL  AtlanticoAcu,Rota maritima GNL  AtlanticoSantos,Rota maritima GNL  AtlanticoBabitonga (TGS),Rota maritima GNL  AtlanticoBarcarena,Rota maritima GNL  AtlanticoSuape,GASBEL REDUC-ESMAN,ESMAN-REGAP,GASBOL V(AraucariaGavura),GASBOL V(GaruvaBiguacu),Nordestao (CaboSantaRita),Nordestao (SantaRitaGuamare)
   1,   1,   1, 0.36532    , 0.19410    ,  0.0000    ,  0.0000    ,  1.6412    , 0.61951    , 0.35721E-01,  2.1281    ,  0.0000    ,  5.3494    ,  0.0000    ,  3.2668    , 0.21837    ,  0.0000    ,  5.5745    ,  3.4409    , 0.36395    ,  0.0000    , 0.36571    ,  0.0000    , 0.39162    , 0.48068E-01,  0.0000    ,  1.5873    ,  1.2930    ,  0.0000    , 0.14420    ,  0.0000    ,  0.0000    ,  1.3385    ,  1.2411    , 0.30625    ,  0.0000    ,  21.796    ,  21.774    ,  0.0000    ,  0.0000    , 0.40225    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.1798    ,  1.1774    ,  1.0281    ,  1.0271    , 0.50034    , 0.49934      
   1,   1,   2, 0.54176    , 0.28785    ,  0.0000    ,  0.0000    ,  2.4338    , 0.91871    , 0.52976E-01,  3.1559    ,  0.0000    ,  10.335    ,  0.0000    ,  7.1941    , 0.32383    ,  0.0000    ,  8.5699    ,  5.4055    , 0.53973    ,  0.0000    , 0.54233    ,  0.0000    , 0.58076    , 0.71281E-01,  0.0000    ,  8.4299    ,  2.2884    ,  0.0000    ,  5.9068    ,  0.0000    ,  5.6872    ,  1.9960    ,  1.8516    , 0.46527    ,  0.0000    ,  55.275    ,  55.219    ,  0.0000    ,  0.0000    , 0.59653    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  44.285    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.8000    ,  1.7964    ,  1.5247    ,  1.5231    , 0.75313    , 0.75162      
   1,   1,   3, 0.63724    , 0.33858    ,  0.0000    ,  0.0000    ,  2.8628    ,  1.0806    , 0.62305E-01,  3.7121    ,  0.0000    ,  36.230    ,  0.0000    ,  32.515    , 0.38091    ,  24.228    ,  10.059    ,  6.3368    , 0.63485    ,  0.0000    , 0.63791    ,  0.0000    ,  13.940    ,  13.314    ,  13.217    ,  3.1736    ,  2.6595    ,  0.0000    , 0.25154    ,  0.0000    ,  0.0000    ,  2.3471    ,  2.1772    , 0.54648    ,  0.0000    ,  63.398    ,  63.335    ,  0.0000    ,  0.0000    , 0.70165    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  48.856    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  2.1136    ,  2.1094    ,  1.7934    ,  1.7916    , 0.88508    , 0.88331      
   2,   1,   1, 0.34931    , 0.18560    ,  0.0000    ,  0.0000    ,  1.5759    , 0.59895    , 0.34158E-01,  2.0368    ,  0.0000    ,  8.7108    ,  0.0000    ,  6.7719    , 0.20880    ,  0.0000    ,  5.0293    ,  2.9875    , 0.34447    ,  0.0000    , 0.34615    ,  0.0000    , 0.37446    , 0.45966E-01,  0.0000    ,  1.9173    ,  1.6352    ,  0.0000    , 0.13789    ,  0.0000    ,  0.0000    ,  1.2697    ,  1.1766    , 0.28286    ,  0.0000    ,  26.530    ,  26.503    ,  0.0000    ,  0.0000    , 0.38463    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  14.324    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.0720    ,  1.0698    , 0.98967    , 0.98868    , 0.46840    , 0.46746      
   2,   1,   2, 0.53775    , 0.28572    ,  0.0000    ,  0.0000    ,  2.4260    , 0.92206    , 0.52585E-01,  3.1355    ,  0.0000    ,  14.877    ,  0.0000    ,  11.890    , 0.32144    ,  0.0000    ,  7.7425    ,  4.5992    , 0.53030    ,  0.0000    , 0.53288    ,  0.0000    , 0.57647    , 0.70761E-01,  0.0000    ,  8.8733    ,  2.8021    ,  0.0000    ,  5.8371    ,  0.0000    ,  5.6193    ,  1.9547    ,  1.8114    , 0.43544    ,  0.0000    ,  51.017    ,  50.966    ,  0.0000    ,  0.0000    , 0.59211    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  42.441    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.6503    ,  1.6470    ,  1.5235    ,  1.5220    , 0.72107    , 0.71963      
   2,   1,   3, 0.65725    , 0.34921    ,  0.0000    ,  0.0000    ,  2.9651    ,  1.1270    , 0.64269E-01,  3.8323    ,  0.0000    ,  39.661    ,  0.0000    ,  35.989    , 0.39287    ,  22.257    ,  9.4631    ,  5.6213    , 0.64815    ,  0.0000    , 0.65130    ,  0.0000    ,  15.399    ,  14.751    ,  14.650    ,  3.8301    ,  3.2987    ,  0.0000    , 0.25945    ,  0.0000    ,  0.0000    ,  2.3891    ,  2.2140    , 0.53220    ,  0.0000    ,  58.659    ,  58.600    ,  0.0000    ,  0.0000    , 0.72369    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  44.386    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  2.0170    ,  2.0129    ,  1.8621    ,  1.8603    , 0.88131    , 0.87954      
   3,   1,   1, 0.38579    , 0.20497    ,  0.0000    ,  0.0000    ,  1.7794    , 0.67643    , 0.37715E-01,  2.2937    ,  0.0000    ,  10.056    ,  0.0000    ,  7.9141    , 0.23060    ,  0.0000    ,  5.6324    ,  3.3331    , 0.38433    ,  0.0000    , 0.38620    ,  0.0000    , 0.87253    , 0.51243    ,  0.0000    ,  3.4659    ,  1.7635    ,  0.0000    ,  1.5419    ,  0.0000    ,  1.3897    ,  1.3883    ,  1.2865    , 0.30927    ,  0.0000    ,  22.740    ,  22.717    ,  0.0000    ,  0.0000    , 0.42478    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  6.4789    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.1839    ,  1.1816    ,  1.1175    ,  1.1164    , 0.51214    , 0.51111      
   3,   1,   2, 0.55143    , 0.29298    ,  0.0000    ,  0.0000    ,  2.5434    , 0.96687    , 0.53908E-01,  3.2784    ,  0.0000    ,  17.961    ,  0.0000    ,  14.896    , 0.32961    ,  0.0000    ,  8.0507    ,  4.7642    , 0.54935    ,  0.0000    , 0.55200    ,  0.0000    ,  1.4347    , 0.91958    ,  0.0000    ,  3.3038    ,  2.8621    ,  0.0000    , 0.21550    ,  0.0000    ,  0.0000    ,  1.9844    ,  1.8389    , 0.44204    ,  0.0000    ,  42.972    ,  42.929    ,  0.0000    ,  0.0000    , 0.60716    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  34.255    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.6922    ,  1.6888    ,  1.5974    ,  1.5958    , 0.73201    , 0.73055      
   3,   1,   3, 0.62272    , 0.33086    ,  0.0000    ,  0.0000    ,  2.8722    ,  1.0919    , 0.60882E-01,  3.7023    ,  0.0000    ,  43.185    ,  0.0000    ,  39.701    , 0.37222    ,  22.797    ,  9.0914    ,  5.3801    , 0.62037    ,  0.0000    , 0.62336    ,  0.0000    ,  16.444    ,  15.833    ,  14.777    ,  7.9778    ,  3.2369    ,  0.0000    ,  4.4771    ,  0.0000    ,  4.2295    ,  2.2409    ,  2.0766    , 0.49919    ,  0.0000    ,  48.649    ,  48.601    ,  0.0000    ,  0.0000    , 0.68565    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  38.970    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  1.9110    ,  1.9072    ,  1.8039    ,  1.8021    , 0.82664    , 0.82499      
   4,   1,   1, 0.27299    , 0.14505    ,  0.0000    ,  0.0000    ,  1.3308    , 0.50922    , 0.26693E-01,  1.6947    ,  0.0000    ,  9.7216    ,  0.0000    ,  8.2035    , 0.16317    ,  0.0000    ,  4.0574    ,  2.3586    , 0.27196    ,  0.0000    , 0.27327    ,  0.0000    ,  16.162    ,  15.876    ,  14.689    ,  1.7907    ,  1.5718    ,  0.0000    , 0.10669    ,  0.0000    ,  0.0000    , 0.98238    , 0.91035    , 0.21884    ,  0.0000    ,  23.600    ,  23.576    ,  0.0000    ,  0.0000    , 0.30059    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  14.442    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , 0.83775    , 0.83607    , 0.83779    , 0.83696    , 0.36239    , 0.36166      
