Varies per block?       ,    3,Unit    ,s      ,     2,     1,  2027
Varies per sequence?    ,    1
# of agents             ,    1
Stag,Seq.,Blck,Total
   1,   1,   1, 0.30000E-01                                           
   2,   1,   1, 0.10000E-01                                           
   3,   1,   1, 0.10000E-01                                           
   4,   1,   1, 0.10000E-01                                           
   5,   1,   1, 0.10000E-01                                           
   6,   1,   1, 0.10000E-01                                           
   7,   1,   1, 0.10000E-01                                           
   8,   1,   1,  0.0000                                               
   9,   1,   1, 0.10000E-01                                           
  10,   1,   1, 0.10000E-01                                           
  11,   1,   1, 0.10000E-01                                           
  12,   1,   1, 0.10000E-01                                           
