Varies per block?       ,    1,Unit    ,kUE    ,     2,     1,  2027
Varies per sequence?    ,    1
# of agents             ,   18
Stag,Seq.,Blck,Regaseificacao B. Guanabara:Tanque FSRU Baia de Guanabara,Regaseificacao B. Guanabara:Terminal GNL B. Guanabara (lado GN),Regaseificacao Bahia:Tanque FSRU Bahia,Regaseificacao Bahia:Terminal GNL Bahia (lado GN),Regaseificacao Pecem:Tanque FSRU Pecem,Regaseificacao Pecem:Pecem (lado GN),Regaseificacao Sergipe:Tanque FSRU Sergipe,Regaseificacao Sergipe:Terminal GNL Sergipe (lado GN),Regaseificacao Acu:Tanque FSRU Acu,Regaseificacao Acu:Porto do Acu (lado GN),Regaseificacao Santos:Tanque FSRU Santos,Regaseificacao Santos:Terminal GNL Santos (lado GN),Regaseificacao Babitonga (TGS):Tanque FSRU Babitonga (TGS),Regaseificacao Babitonga (TGS):S. Francisco do Sul (lado GN),Regaseificacao Barcarena:Tanque FSRU Barcarena,Regaseificacao Barcarena:Barcarena (lado GN),Regaseificacao Suape:Tanque FSRU Suape,Regaseificacao Suape:Cabo / Suape
   1,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  42.957    , -42.313    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000      
   1,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  109.45    , -107.81    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000      
   1,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  125.51    , -123.63    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000      
   2,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  52.295    , -51.511    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  9.8208    , -9.6735    ,  0.0000    ,  0.0000      
   2,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  100.86    , -99.343    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  18.940    , -18.656    ,  0.0000    ,  0.0000      
   2,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  115.80    , -114.06    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  21.746    , -21.420    ,  0.0000    ,  0.0000      
   3,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  52.466    , -51.679    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  13.728    , -13.522    ,  0.0000    ,  0.0000      
   3,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  99.936    , -98.437    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  26.148    , -25.756    ,  0.0000    ,  0.0000      
   3,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  113.14    , -111.44    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  29.603    , -29.159    ,  0.0000    ,  0.0000      
   4,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  45.913    , -45.224    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  14.942    , -14.718    ,  0.0000    ,  0.0000      
