$version=1
!Code,Latitude,Longitude
1,-19.01,-57.65
1,-19.01,-57.65
1,-19.01,-57.65
1,-19.01,-57.65
2,-20.44,-54.65
2,-20.44,-54.65
2,-20.44,-54.65
2,-20.44,-54.65
3,-20.79,-51.7
3,-20.79,-51.7
3,-20.79,-51.7
3,-20.79,-51.7
4,-22.76,-47.15
4,-22.76,-47.15
4,-22.76,-47.15
4,-22.76,-47.15
5,-23.41,-46.03
5,-23.41,-46.03
5,-23.41,-46.03
5,-23.41,-46.03
6,-23.65,-46.49
6,-23.65,-46.49
6,-23.65,-46.49
6,-23.65,-46.49
7,-23.87,-46.42
7,-23.87,-46.42
7,-23.87,-46.42
7,-23.87,-46.42
8,-23.98,-46.3
8,-23.98,-46.3
8,-23.98,-46.3
8,-23.98,-46.3
9,-23.62,-45.41
9,-23.62,-45.41
9,-23.62,-45.41
9,-23.62,-45.41
10,-23.03,-45.56
10,-23.03,-45.56
10,-23.03,-45.56
10,-23.03,-45.56
11,-22.52,-44.1
11,-22.52,-44.1
11,-22.52,-44.1
11,-22.52,-44.1
12,-22.64,-43.65
12,-22.64,-43.65
12,-22.64,-43.65
12,-22.64,-43.65
13,-22.71,-43.28
13,-22.71,-43.28
13,-22.71,-43.28
13,-22.71,-43.28
14,-22.8,-43.17
14,-22.8,-43.17
14,-22.8,-43.17
14,-22.8,-43.17
15,-22.75,-42.86
15,-22.75,-42.86
15,-22.75,-42.86
15,-22.75,-42.86
16,-22.53,-41.94
16,-22.53,-41.94
16,-22.53,-41.94
16,-22.53,-41.94
17,-21.83,-41.02
17,-21.83,-41.02
17,-21.83,-41.02
17,-21.83,-41.02
18,-20.26,-40.27
18,-20.26,-40.27
18,-20.26,-40.27
18,-20.26,-40.27
19,-19.39,-40.07
19,-19.39,-40.07
19,-19.39,-40.07
19,-19.39,-40.07
30,-15.6,-56.1
30,-15.6,-56.1
30,-15.6,-56.1
30,-15.6,-56.1
49,-19.92,-43.94
49,-19.92,-43.94
49,-19.92,-43.94
49,-19.92,-43.94
51,-21.8,-49.4
51,-21.8,-49.4
51,-21.8,-49.4
51,-21.8,-49.4
53,-23,-44.9
53,-23,-44.9
53,-23,-44.9
53,-23,-44.9
55,-18.6,-63.2
55,-18.6,-63.2
55,-18.6,-63.2
55,-18.6,-63.2
56,-22.35,-63.7
56,-22.35,-63.7
56,-22.35,-63.7
56,-22.35,-63.7
41,-22.8,-43.17
41,-22.8,-43.17
41,-22.8,-43.17
41,-22.8,-43.17
45,-21.83,-41.02
45,-21.83,-41.02
45,-21.83,-41.02
45,-21.83,-41.02
46,-23.98,-46.3
46,-23.98,-46.3
46,-23.98,-46.3
46,-23.98,-46.3
58,5,-30
58,5,-30
58,5,-30
58,5,-30
20,-12.35,-38.38
20,-12.35,-38.38
20,-12.35,-38.38
21,-12.7,-38.32
21,-12.7,-38.32
21,-12.7,-38.32
22,-12.62,-38.68
22,-12.62,-38.68
22,-12.62,-38.68
23,-10.65,-36.99
23,-10.65,-36.99
23,-10.65,-36.99
24,-10.9,-37.03
24,-10.9,-37.03
24,-10.9,-37.03
25,-9.6,-35.96
25,-9.6,-35.96
25,-9.6,-35.96
26,-8.39,-35.06
26,-8.39,-35.06
26,-8.39,-35.06
27,-5.1,-36.32
27,-5.1,-36.32
27,-5.1,-36.32
28,-3.72,-38.54
28,-3.72,-38.54
28,-3.72,-38.54
29,-3.55,-38.79
29,-3.55,-38.79
29,-3.55,-38.79
52,-15.9,-39.2
52,-15.9,-39.2
52,-15.9,-39.2
54,-10.1,-36.5
54,-10.1,-36.5
54,-10.1,-36.5
42,-12.62,-38.68
42,-12.62,-38.68
42,-12.62,-38.68
43,-3.55,-38.79
43,-3.55,-38.79
43,-3.55,-38.79
44,-10.9,-37.03
44,-10.9,-37.03
44,-10.9,-37.03
59,-8.4,-34.97
59,-8.4,-34.97
59,-8.4,-34.97
36,-4.88,-65.35
36,-4.88,-65.35
37,-4.09,-63.14
37,-4.09,-63.14
38,-3.1,-60.02
38,-3.1,-60.02
39,-4.87,-44.36
39,-4.87,-44.36
40,-1.51,-48.63
40,-1.51,-48.63
48,-1.51,-48.63
48,-1.51,-48.63
31,-25.59,-49.41
32,-26.24,-48.64
33,-27.49,-48.66
34,-29.92,-51.18
35,-29.76,-57.09
57,-29.71,-57.09
47,-26.24,-48.64
60,-21.76,-43.35
61,-26.03,-48.85
62,-7.11,-34.98
63,-22.93,-43.83
