$version=1
!dd/mm/yyyy,Code,Name,Process,Node,Existing,MinProd [Unit/day],MaxProd [Unit/day], ProdCost[$/Unit)
01/01/2026,8,SEAP  Sergipe Aguas Profundas,1,24,0,0,0,255
01/01/2026,26,GNL firme DES  Suape,2,59,0,0,0,430
01/01/2028,26,GNL firme DES  Suape,2,59,0,0,3000,430
01/01/2029,8,SEAP  Sergipe Aguas Profundas,1,24,0,0,15000,255
01/01/2031,6,Producao Bahia (Manati + Reconcavo),1,20,0,0,3000,275
01/01/2031,7,Producao onshore SE/AL (Carmopolis),1,23,0,0,1500,275
01/01/2031,9,Producao RN (Guamare),1,27,0,0,1200,280
01/01/2036,6,Producao Bahia (Manati + Reconcavo),1,20,0,0,2000,280
01/01/2036,8,SEAP  Sergipe Aguas Profundas,1,24,0,0,8000,260
01/01/2046,8,SEAP  Sergipe Aguas Profundas,1,24,0,0,3000,265
