$version=1
!dd/mm/yyyy,Code,Name,Process,Existing,NodeFrom,NodeTo,CapFromTo [Unit/day],CapToFrom [Unit/day], CostFromTo[$/Unit], CostToFrom[$/Unit], LossFromTo[p.u.], LossToFrom [p.u.]
01/01/2026,36,Gasinf (AcuItaborai),1,0,17,15,0,0,0.9,0,0.001,0
01/01/2026,42,Reversao ARGBOL (Campo DuranRio Grande),1,0,56,55,0,0,3,0,0.003,0
01/01/2026,51,Rota maritima GNL  AtlanticoSuape,2,0,58,59,0,0,47,0,0.002,0
01/01/2027,45,Rota maritima GNL  AtlanticoPecem,2,0,58,43,21000,0,45,0,0.002,0
01/01/2028,14,GASPAL I-a (Japerilinepack),1,0,12,53,20000,8000,0.8,0.8,0.001,0.001
01/01/2028,39,GASPAL I-b (linepackGuararema),1,0,53,5,20000,8000,0.8,0.8,0.001,0.001
01/01/2028,36,Gasinf (AcuItaborai),1,0,17,15,10000,0,0.9,0,0.001,0
01/01/2028,42,Reversao ARGBOL (Campo DuranRio Grande),1,0,56,55,8000,0,3,0,0.003,0
01/01/2028,51,Rota maritima GNL  AtlanticoSuape,2,0,58,59,14000,0,47,0,0.002,0
01/01/2029,8,Interconexao Paulinia (TBGNTS),1,0,5,4,18000,10000,0.8,0.8,0.001,0.001
01/01/2029,21,GASCAV (CabiunasVitoria),1,0,16,18,20000,20000,1.2,1.2,0.002,0.002
01/01/2031,56,Nordestao (CaboSantaRita),1,0,26,62,6500,6500,1.5,1.5,0.002,0.002
01/01/2031,57,Nordestao (SantaRitaGuamare),1,0,62,27,6500,6500,1.5,1.5,0.002,0.002
01/01/2032,8,Interconexao Paulinia (TBGNTS),1,0,5,4,22000,10000,0.8,0.8,0.001,0.001
01/01/2032,42,Reversao ARGBOL (Campo DuranRio Grande),1,0,56,55,12000,0,3,0,0.003,0
01/01/2033,31,GASFOR (GuamareFortaleza),1,0,27,28,4000,4000,1.4,1.4,0.002,0.002
01/01/2033,47,Rota maritima GNL  AtlanticoAcu,2,0,58,45,42000,0,55,0,0.002,0
01/01/2033,56,Nordestao (CaboSantaRita),1,0,26,62,8500,8500,1.3,1.3,0.002,0.002
01/01/2033,57,Nordestao (SantaRitaGuamare),1,0,62,27,8500,8500,1.3,1.3,0.002,0.002
01/01/2035,56,Nordestao (CaboSantaRita),1,0,26,62,10000,10000,1.2,1.2,0.002,0.002
01/01/2035,57,Nordestao (SantaRitaGuamare),1,0,62,27,10000,10000,1.2,1.2,0.002,0.002
01/01/2036,8,Interconexao Paulinia (TBGNTS),1,0,5,4,25000,10000,0.8,0.8,0.001,0.001
