 Marginal cost per stage per sub-system ($/MWh)
                                                                                                                                                      
 Stage,SUDESTE ,NORDESTE,NORTE   ,SUL     
"2027/01",      0.,      0.,      0.,      0.
"2027/02",      0.,      0.,      0.,      0.
"2027/03",      0.,      0.,      0.,      0.
"2027/04",      0.,      0.,      0.,      0.
"2027/05",      0.,      0.,      0.,      0.
"2027/06",      0.,      0.,      0.,      0.
"2027/07",      0.,      0.,      0.,      0.
"2027/08",      0.,      0.,      0.,      0.
"2027/09",      0.,      0.,      0.,      0.
"2027/10",      0.,      0.,      0.,      0.
"2027/11",      0.,      0.,      0.,      0.
"2027/12",      0.,      0.,      0.,      0.
