 Generation (GWh) - SUDESTE 
 
Stage,Total Hydro,Total Therm.,Total Renew,Total Batt,Total Inject,Deficit
"2027/01",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/02",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/03",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/04",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/05",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/06",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/07",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/08",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/09",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/10",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/11",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/12",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
 
 Generation (GWh) - NORDESTE
 
Stage,Total Hydro,Total Therm.,Total Renew,Total Batt,Total Inject,Deficit
"2027/01",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/02",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/03",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/04",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/05",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/06",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/07",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/08",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/09",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/10",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/11",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/12",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
 
 Generation (GWh) - NORTE   
 
Stage,Total Hydro,Total Therm.,Total Renew,Total Batt,Total Inject,Deficit
"2027/01",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/02",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/03",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/04",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/05",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/06",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/07",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/08",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/09",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/10",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/11",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/12",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
 
 Generation (GWh) - SUL     
 
Stage,Total Hydro,Total Therm.,Total Renew,Total Batt,Total Inject,Deficit
"2027/01",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/02",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/03",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/04",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/05",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/06",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/07",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/08",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/09",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/10",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/11",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/12",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
 
 Generation (GWh) - Total
 
Stage,Total Hydro,Total Therm.,Total Renew,Total Batt,Total Inject,Deficit
"2027/01",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/02",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/03",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/04",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/05",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/06",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/07",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/08",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/09",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/10",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/11",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
"2027/12",        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
