$version=1
key,type,code,name,associated_key
CV-ACU,PSRFixedConverter,5,Regaseificacao Acu,
CV-BAR,PSRFixedConverter,8,Regaseificacao Barcarena,
CV-BG,PSRFixedConverter,1,Regaseificacao B. Guanabara,
CV-PEC,PSRFixedConverter,3,Regaseificacao Pecem,
CV-SE,PSRFixedConverter,4,Regaseificacao Sergipe,
CV-SUAPE,PSRFixedConverter,9,Regaseificacao Suape,
CV-TGS,PSRFixedConverter,7,Regaseificacao Babitonga (TGS),
CV-TRBA,PSRFixedConverter,2,Regaseificacao Bahia,
CV-TRSP,PSRFixedConverter,6,Regaseificacao Santos,
D-BHZ-N1,PSRElectrificationDemand,13,RM Belo Horizonte  nivel 1 (inelastico),
D-BHZ-N2,PSRElectrificationDemand,14,RM Belo Horizonte  nivel 2 (elastico),
D-CAC-N1,PSRElectrificationDemand,16,Linhares (Cacimbas)  nivel 1 (inelastico),
D-CAM-N1,PSRElectrificationDemand,19,polo de Camacari  nivel 1 (inelastico),
D-CAM-N2,PSRElectrificationDemand,20,polo de Camacari  nivel 2 (elastico),
D-CAN-N1,PSRElectrificationDemand,31,Canoas / RM Porto Alegre  nivel 1 (inelastico),
D-CAN-N2,PSRElectrificationDemand,32,Canoas / RM Porto Alegre  nivel 2 (elastico),
D-CARM-N1,PSRElectrificationDemand,21,Carmopolis  nivel 1 (inelastico),
D-CATU-N1,PSRElectrificationDemand,18,Catu  nivel 1 (inelastico),
D-CBA-N1,PSRElectrificationDemand,17,Cuiaba  nivel 1 (inelastico),
D-CGR-N1,PSRElectrificationDemand,1,Campo Grande  nivel 1 (inelastico),
D-CPV-N1,PSRElectrificationDemand,4,RM Sao Paulo (Capuava)  nivel 1 (inelastico),
D-CPV-N2,PSRElectrificationDemand,5,RM Sao Paulo (Capuava)  nivel 2 (elastico),
D-CWB-N1,PSRElectrificationDemand,27,RM Curitiba (Araucaria)  nivel 1 (inelastico),
D-CWB-N2,PSRElectrificationDemand,28,RM Curitiba (Araucaria)  nivel 2 (elastico),
D-FLN-N1,PSRElectrificationDemand,29,Grande Florianopolis  nivel 1 (inelastico),
D-FLN-N2,PSRElectrificationDemand,30,Grande Florianopolis  nivel 2 (elastico),
D-FOR-N1,PSRElectrificationDemand,26,Fortaleza  nivel 1 (inelastico),
D-GASLUB-N1,PSRElectrificationDemand,12,polo Itaborai (GasLub)  nivel 1 (inelastico),
D-GMR-N1,PSRElectrificationDemand,25,Guamare / RN  nivel 1 (inelastico),
D-JAP-N1,PSRElectrificationDemand,9,Japeri  nivel 1 (inelastico),
D-MAO-N1,PSRElectrificationDemand,33,Manaus  nivel 1 (inelastico),
D-PIL-N1,PSRElectrificationDemand,22,Pilar  nivel 1 (inelastico),
D-PLN-N1,PSRElectrificationDemand,3,Paulinia e interior SP  nivel 1 (inelastico),
D-REDUC-N1,PSRElectrificationDemand,10,REDUC / Duque de Caxias  nivel 1 (inelastico),
D-REDUC-N2,PSRElectrificationDemand,11,REDUC / Duque de Caxias  nivel 2 (elastico),
D-RPBC-N1,PSRElectrificationDemand,6,Cubatao / baixada santista  nivel 1 (inelastico),
D-SUAPE-N1,PSRElectrificationDemand,23,Cabo / Suape  nivel 1 (inelastico),
